geo,time,gc_tax_gsrv_rv_zs
cri,1974,32.2449
cri,1975,31.0231
cri,1976,30.9589
cri,1977,32.80182
cri,1978,29.91304
cri,1979,28.48101
cri,1980,31.02981
cri,1981,26.20216
cri,1982,25.71932
cri,1983,31.30559
cri,1984,31.3359
cri,1985,30.2853
cri,1986,28.33578
cri,1987,26.5411
cri,1988,18.20565
cri,1989,17.33615
cri,1990,27.55592
cri,1991,27.86119
cri,1992,35.20558
cri,1993,33.31534
cri,1994,32.27567
cri,1995,32.4497
cri,1996,39.77871
cri,1997,39.3927
cri,1998,40.09626
cri,1999,38.62252
cri,2000,39.62097
cri,2001,39.86305
cri,2004,38.04559
cri,2005,37.81557
cri,2006,37.15127
cri,2007,38.35328
cri,2008,37.4495
cri,2009,32.83422
cri,2010,33.04217
cri,2011,33.57289
cri,2012,32.84558
cri,2013,32.65292
cri,2014,32.12974
cri,2015,30.67435
cri,2016,29.68778
cri,2017,30.38479
cri,2018,26.91447
cri,2019,27.12828
cyp,1972,23.87775
cyp,1973,27.72343
cyp,1974,24.16558
cyp,1975,19.85932
cyp,1976,18.29733
cyp,1977,16.65105
cyp,1978,23.24596
cyp,1979,27.48572
cyp,1980,22.80712
cyp,1981,19.87501
cyp,1982,19.7034
cyp,1983,20.15866
cyp,1984,20.17613
cyp,1985,20.42015
cyp,1986,19.05722
cyp,1987,19.06685
cyp,1988,18.93758
cyp,1989,19.01056
cyp,1990,18.26311
cyp,1991,18.18822
cyp,1992,21.97175
cyp,1993,25.7744
cyp,1994,28.82104
cyp,1995,27.70739
cyp,1996,27.77254
cyp,1997,27.24198
cyp,1998,28.80678
cyp,1999,28.44861
cyp,2000,30.80443
cyp,2001,31.15606
cyp,2002,31.97719
cyp,2003,35.48551
cyp,2004,38.14717
cyp,2005,36.81989
cyp,2006,36.5881
cyp,2007,35.14748
cyp,2008,36.45675
cyp,2009,34.71104
cyp,2010,34.13993
cyp,2011,33.42531
cyp,2012,34.86248
cyp,2013,33.81417
cyp,2014,34.26104
cyp,2015,34.55844
cyp,2016,36.26472
cyp,2017,35.2099
cyp,2018,35.48915
cyp,2019,33.09177
cze,1993,31.71426
cze,1994,32.05094
cze,1995,30.25966
cze,1996,31.55448
cze,1997,31.02825
cze,1998,30.85239
cze,1999,32.5275
cze,2000,31.8961
cze,2001,26.78352
cze,2002,26.10317
cze,2003,23.67093
cze,2004,27.50996
cze,2005,27.43031
cze,2006,26.52236
cze,2007,26.96097
cze,2008,26.6253
cze,2009,28.18863
cze,2010,28.51481
cze,2011,29.86448
cze,2012,30.89468
cze,2013,31.38374
cze,2014,29.85336
cze,2015,30.32396
cze,2016,30.2935
cze,2017,30.09477
cze,2018,28.47504
cze,2019,28.42848
deu,1972,28.33061
deu,1973,26.59127
deu,1974,24.60439
deu,1975,24.53936
deu,1976,23.90563
deu,1977,23.02973
deu,1978,23.6521
deu,1979,24.15391
deu,1980,23.11306
deu,1981,22.75818
deu,1982,21.39542
deu,1983,21.99089
deu,1984,23.34725
deu,1985,22.31545
deu,1986,21.85746
deu,1987,22.41989
deu,1988,22.6235
deu,1989,23.11268
deu,1990,23.84789
deu,1991,23.87723
deu,1992,23.10175
deu,1993,23.1155
deu,1994,23.62136
deu,1995,21.79283
deu,1996,20.4014
deu,1997,20.03181
deu,1998,20.34495
deu,1999,21.37323
deu,2000,21.60695
deu,2001,22.13828
deu,2002,22.34057
deu,2003,22.30297
deu,2004,22.13882
deu,2005,22.78916
deu,2006,22.70825
deu,2007,24.02152
deu,2008,23.89047
deu,2009,24.59156
deu,2010,24.65919
deu,2011,24.79355
deu,2012,24.27836
deu,2013,23.88981
deu,2014,23.506
deu,2015,23.1791
deu,2016,22.03993
deu,2017,21.97233
deu,2018,21.32739
deu,2019,21.01295
dnk,1972,43.40091
dnk,1973,45.8091
dnk,1974,41.11377
dnk,1975,43.00693
dnk,1976,44.61945
dnk,1977,48.80756
dnk,1978,49.32493
dnk,1979,50.19904
dnk,1980,47.69912
dnk,1981,47.14187
dnk,1982,46.02093
dnk,1983,44.78126
dnk,1984,43.03345
dnk,1985,41.95905
dnk,1986,43.40767
dnk,1987,42.64364
dnk,1988,42.48506
dnk,1989,41.29151
dnk,1990,41.62737
dnk,1991,41.08525
dnk,1992,39.87328
dnk,1993,38.1515
dnk,1994,39.27015
dnk,1995,38.47729
dnk,1996,38.95686
dnk,1997,39.86052
dnk,1998,41.72931
dnk,1999,41.55283
dnk,2000,39.74228
dnk,2001,40.74176
dnk,2002,41.99522
dnk,2003,41.58454
dnk,2004,40.15585
dnk,2005,39.27168
dnk,2006,40.40867
dnk,2007,38.82024
dnk,2008,37.24395
dnk,2009,37.40509
dnk,2010,36.63538
dnk,2011,36.15373
dnk,2012,36.18585
dnk,2013,35.7427
dnk,2014,33.30972
dnk,2015,35.97089
dnk,2016,36.79017
dnk,2017,36.02152
dnk,2018,37.17946
dnk,2019,33.90441
dom,1972,19.29925
dom,1973,18.34197
dom,1974,16.75015
dom,1975,16.14789
dom,1976,21.9611
dom,1977,23.6407
dom,1978,23.93993
dom,1979,25.15371
dom,1980,22.06364
dom,1981,26.08475
dom,1982,33.37405
dom,1983,31.51171
dom,1984,33.96436
dom,1985,34.41993
dom,1986,34.7359
dom,1987,26.00404
dom,1988,21.23001
dom,1989,20.15606
dom,1990,22.97098
dom,1991,21.01378
dom,1992,26.15345
dom,1993,28.33883
dom,1994,33.9833
dom,1995,34.19341
dom,1996,34.02765
dom,1997,34.81142
dom,1998,35.68344
dom,1999,30.15787
dom,2000,25.65261
dom,2001,35.34666
dom,2002,35.61348
dom,2003,41.90519
dom,2004,41.21021
dom,2005,47.87977
dom,2006,53.90047
dom,2007,55.76249
dom,2008,57.81608
dom,2009,57.14098
dom,2010,57.09619
dom,2011,57.14681
dom,2012,54.65868
dom,2013,54.98839
dom,2014,52.69613
dom,2015,42.66911
dom,2016,48.97611
dom,2017,49.10593
dom,2018,52.0585
dom,2019,51.86104
egy,1975,11.18568
egy,1976,11.75743
egy,1977,10.8149
egy,1978,12.25516
egy,1979,15.95233
egy,1981,9.07133
egy,1982,9.51075
egy,1983,12.72167
egy,1984,12.48431
egy,1985,12.07248
egy,1986,11.18049
egy,1987,11.69379
egy,1988,11.23902
egy,1989,11.76392
egy,1990,13.23861
egy,1991,10.10951
egy,1992,13.49195
egy,1993,13.13866
egy,1994,12.53394
egy,1995,13.34302
egy,1996,16.10049
egy,1997,16.81551
egy,2002,22.13885
egy,2003,21.50083
egy,2004,21.64678
egy,2005,23.88046
egy,2006,19.90929
egy,2007,19.39986
egy,2008,20.20663
egy,2009,21.90164
egy,2010,24.23062
egy,2011,27.6119
egy,2012,27.27961
egy,2013,26.4666
egy,2014,20.55292
egy,2015,26.10782
esp,1972,28.05734
esp,1973,28.53887
esp,1974,24.52421
esp,1975,22.62188
esp,1976,20.47155
esp,1977,17.5399
esp,1978,17.7298
esp,1979,16.91375
esp,1980,15.82428
esp,1981,17.4116
esp,1982,15.4602
esp,1983,17.61969
esp,1984,17.08261
esp,1985,20.67389
esp,1986,28.55478
esp,1987,24.96593
esp,1988,24.471
esp,1989,23.02557
esp,1990,21.98052
esp,1991,21.70467
esp,1992,22.53438
esp,1993,20.40115
esp,1994,23.19511
esp,2017,28.74729
esp,2018,27.95211
esp,2019,27.44748
est,1991,39.4077
est,1992,33.96896
est,1993,37.61283
est,1994,39.41377
est,1995,31.17437
est,1996,34.63943
est,1997,35.04061
est,1998,32.43626
est,1999,32.02249
est,2000,34.26664
est,2001,35.81021
est,2002,35.27937
est,2003,33.74086
est,2004,35.63309
est,2005,37.10565
est,2006,37.79534
est,2007,37.20849
est,2008,33.37609
est,2009,34.41384
est,2010,35.01031
est,2011,36.17149
est,2012,36.79022
est,2013,36.12662
est,2014,37.09301
est,2015,37.14421
est,2016,38.81822
est,2017,38.12181
est,2018,37.20427
est,2019,37.61278
eth,1990,24.31525
eth,1991,26.51045
eth,1992,22.54694
eth,1993,20.75698
eth,1994,16.64618
eth,1995,13.30741
eth,1996,13.85581
eth,1997,16.58215
eth,1998,17.31684
eth,1999,16.08274
eth,2001,9.83866
eth,2002,12.63409
eth,2003,12.02419
eth,2004,10.10655
eth,2005,10.64383
eth,2006,17.04759
eth,2007,15.7437
eth,2008,12.58932
eth,2009,10.88944
eth,2010,9.24512
eth,2011,15.55569
eth,2012,21.67255
eth,2013,17.3453
eth,2014,34.56784
eth,2015,34.62793
eth,2016,32.69467
eth,2017,33.25641
eth,2018,30.4749
eth,2019,31.19243
fin,1972,48.51023
fin,1973,46.14044
fin,1974,43.99882
fin,1975,42.51522
fin,1976,40.04106
fin,1977,43.92788
fin,1978,48.74475
fin,1979,50.86049
fin,1980,50.16637
fin,1981,49.13754
fin,1982,49.72431
fin,1983,50.03702
fin,1984,48.77706
fin,1985,47.68232
fin,1986,45.54379
fin,1987,48.35966
fin,1988,48.18506
fin,1989,49.81218
fin,1990,48.13603
fin,1991,47.73147
fin,1992,44.66798
fin,1993,43.26184
fin,1994,42.70462
fin,1995,32.00989
fin,1996,32.80764
fin,1997,35.54829
fin,1998,35.28079
fin,1999,36.16498
fin,2000,33.27396
fin,2001,33.69591
fin,2002,34.30408
fin,2003,36.03919
fin,2004,35.67591
fin,2005,35.5105
fin,2006,35.07185
fin,2007,33.9162
fin,2008,33.33605
fin,2009,36.13886
fin,2010,36.70566
fin,2011,37.61217
fin,2012,37.83084
fin,2013,38.44135
fin,2014,38.33253
fin,2015,37.86806
fin,2016,38.42339
fin,2017,38.51032
fin,2018,39.07323
fin,2019,38.73025
fji,1990,14.38986
fji,1991,16.07024
fji,1992,24.2895
fji,1993,31.67507
fji,1994,31.61646
fji,1995,31.35785
fji,1996,32.31692
fji,2004,42.36064
fji,2005,41.77921
fji,2006,42.22243
fji,2010,40.35667
fji,2011,44.16014
fji,2012,43.72377
fji,2013,48.35473
fji,2014,44.48405
fji,2015,44.01821
fji,2016,42.60531
fji,2017,43.07102
fji,2018,45.83245
fji,2019,46.52901
fra,1972,38.82564
fra,1973,37.88951
fra,1974,35.60656
fra,1975,34.48877
fra,1976,34.00765
fra,1977,32.04578
fra,1978,32.84165
fra,1979,33.07505
fra,1980,31.48626
fra,1981,30.51953
fra,1982,30.66845
fra,1983,30.0849
fra,1984,29.41369
fra,1985,29.78175
fra,1986,29.57304
fra,1987,29.68008
fra,1988,29.56402
fra,1989,28.9981
fra,1990,28.39992
fra,1991,26.94517
fra,1992,26.79158
fra,1993,26.73627
