geo,time,bm_gsr_insf_zs
cri,1980,6.74354
cri,1981,8.01843
cri,1982,6.07574
cri,1983,6.90608
cri,1984,8.30463
cri,1985,7.91622
cri,1986,8.46509
cri,1987,7.00588
cri,1988,7.4109
cri,1989,6.49194
cri,1990,5.91232
cri,1991,2.29993
cri,1992,6.03715
cri,1993,6.30818
cri,1994,6.27834
cri,1995,4.52735
cri,1996,3.9811
cri,1997,4.11781
cri,1998,3.22058
cri,1999,3.74827
cri,2000,16.73082
cri,2001,13.82279
cri,2002,11.25606
cri,2003,9.76924
cri,2004,10.42139
cri,2005,12.57953
cri,2006,14.61841
cri,2007,13.12097
cri,2008,13.57968
cri,2009,13.2872
cri,2010,10.607
cri,2011,10.31275
cri,2012,9.87391
cri,2013,12.62158
cri,2014,14.06031
cri,2015,12.48007
cri,2016,11.43117
cri,2017,10.33316
cri,2018,10.0791
cri,2019,11.13641
cri,2020,14.3012
cym,2016,35.10392
cym,2017,40.4847
cym,2018,36.98
cym,2019,37.45352
cyp,1976,6.11354
cyp,1977,6.31399
cyp,1978,6.47709
cyp,1979,6.34328
cyp,1980,2.01058
cyp,1981,1.56114
cyp,1982,1.07143
cyp,1983,0.72607
cyp,1984,0.28281
cyp,1985,1.24459
cyp,1986,6.04246
cyp,1987,5.70217
cyp,1988,5.51047
cyp,1989,6.14828
cyp,1990,5.76612
cyp,1991,5.31601
cyp,1992,5.73729
cyp,1993,5.67674
cyp,1994,5.60924
cyp,1995,6.51625
cyp,1996,6.73575
cyp,1997,6.99757
cyp,1998,7.62089
cyp,1999,8.16013
cyp,2000,7.20584
cyp,2001,6.87375
cyp,2002,5.15446
cyp,2003,4.0291
cyp,2004,6.46532
cyp,2005,5.82154
cyp,2006,6.96856
cyp,2007,6.52806
cyp,2008,17.95257
cyp,2009,18.88994
cyp,2010,22.43419
cyp,2011,20.04842
cyp,2012,17.10431
cyp,2013,20.41825
cyp,2014,28.4109
cyp,2015,25.44811
cyp,2016,28.48396
cyp,2017,26.35299
cyp,2018,26.72022
cyp,2019,26.36018
cyp,2020,36.35675
cze,1993,13.59369
cze,1994,3.85665
cze,1995,5.03586
cze,1996,4.44255
cze,1997,4.93781
cze,1998,6.79515
cze,1999,5.95069
cze,2000,8.53476
cze,2001,6.02569
cze,2002,12.23511
cze,2003,9.34583
cze,2004,14.19773
cze,2005,14.26865
cze,2006,14.06031
cze,2007,10.06737
cze,2008,8.72469
cze,2009,7.65221
cze,2010,6.62309
cze,2011,6.5886
cze,2012,6.07749
cze,2013,6.87568
cze,2014,8.47076
cze,2015,5.44515
cze,2016,4.961
cze,2017,4.45945
cze,2018,4.41292
cze,2019,4.78754
cze,2020,6.05563
deu,1971,0
deu,1972,0
deu,1973,0
deu,1974,0
deu,1975,0
deu,1976,0.52377
deu,1977,0.52601
deu,1978,0.54204
deu,1979,0.54064
deu,1980,0.86936
deu,1981,0.80382
deu,1982,0.72646
deu,1983,0.82308
deu,1984,0.94041
deu,1985,1.05079
deu,1986,1.22398
deu,1987,1.25707
deu,1988,1.45053
deu,1989,1.23302
deu,1990,0.96457
deu,1991,2.38904
deu,1992,2.63648
deu,1993,2.88723
deu,1994,2.65893
deu,1995,2.77193
deu,1996,3.38875
deu,1997,3.74461
deu,1998,3.6739
deu,1999,4.5006
deu,2000,3.6258
deu,2001,3.78549
deu,2002,3.73053
deu,2003,3.92922
deu,2004,4.64614
deu,2005,4.88802
deu,2006,5.40091
deu,2007,6.24656
deu,2008,5.81053
deu,2009,6.4098
deu,2010,6.06173
deu,2011,6.75017
deu,2012,6.33469
deu,2013,6.32861
deu,2014,6.95115
deu,2015,6.63919
deu,2016,6.37214
deu,2017,5.63131
deu,2018,5.94126
deu,2019,6.01167
deu,2020,8.33936
dji,1991,10.41341
dji,1992,9.93778
dji,1993,7.57762
dji,1994,8.26305
dji,1995,8.43093
dji,1996,10.64828
dji,1997,8.62989
dji,1998,10.38639
dji,1999,13.33562
dji,2000,11.29555
dji,2001,10.96413
