geo,time,nv_agr_totl_cd
fro,2016,566439383.81092
fro,2017,551151766.64799
fro,2018,524134545.33937
fro,2019,568057096.5904
fsm,1983,44900000
fsm,1995,53002800
fsm,1996,51078200
fsm,1997,47747600
fsm,1998,55273800
fsm,1999,52059400
fsm,2000,56160300
fsm,2001,55533600
fsm,2002,56312700
fsm,2003,56870800
fsm,2004,52754200
fsm,2005,56132600
fsm,2006,56640600
fsm,2007,64149400
fsm,2008,68945700
fsm,2009,70161400
fsm,2010,73481800
fsm,2011,82076900
fsm,2012,91980400
fsm,2013,83781200
fsm,2014,79506900
fsm,2015,82925700
fsm,2016,90266200
fsm,2017,101309800
fsm,2018,90483800
fsm,2019,91865600
fsm,2020,92258300
gab,1960,45533967.84846
gab,1961,59028398.83047
gab,1962,65597388.69851
gab,1963,68100411.88107
gab,1964,65093105.32197
gab,1965,59577019.27157
gab,1966,61869491.73472
gab,1967,65446945.62774
gab,1968,54127265.874
gab,1969,59239752.17563
gab,1970,60057241.67447
gab,1971,52659015.78829
gab,1972,56343029.30581
gab,1973,83898194.35758
gab,1974,126711294.38127
gab,1975,138115857.48163
gab,1976,150658822.07282
gab,1977,153451840.18615
gab,1978,155546591.89264
gab,1979,225646995.94363
gab,1980,289190356.72937
gab,1981,236262675.51091
gab,1982,221541767.39505
gab,1983,220434182.15991
gab,1984,217412863.65017
gab,1985,225480416.61077
gab,1986,314663997.58574
gab,1987,360754775.1716
gab,1988,386371288.2224
gab,1989,363626903.08125
gab,1990,435972645.93716
gab,1991,411900595.12901
gab,1992,461449882.46708
gab,1993,371494358.0796
gab,1994,380778476.83926
gab,1995,398278347.68177
gab,1996,403868694.58534
gab,1997,384464218.95683
gab,1998,314771477.94108
gab,1999,340101195.53529
gab,2000,315682166.35127
gab,2001,308626037.46571
gab,2002,306460940.9191
gab,2003,390976058.86834
gab,2004,424820513.59849
gab,2005,477667117.2996
gab,2006,507209064.79315
gab,2007,617518156.36885
gab,2008,658643497.75785
gab,2009,611035579.06617
gab,2010,562608559.15276
gab,2011,625030566.03245
gab,2012,575845512.82591
gab,2013,585776563.90084
gab,2014,659202957.6069
gab,2015,620146249.64289
gab,2016,697427280.63994
gab,2017,786151771.08953
gab,2018,916899833.01722
gab,2019,937277207.11849
gab,2020,1019946439.10728
gbm,2012,42998420.22117
gbm,2013,41766453.02486
gbm,2014,34388678.62432
gbm,2015,33465240.64171
gbm,2016,40402376.45153
gbm,2017,27953667.95367
gbm,2018,30787191.46097
gbm,2019,23165688.02655
gbr,1990,14275864701.7045
gbr,1991,14640067019.4004
gbr,1992,14987909792.9098
gbr,1993,13605097480.5039
gbr,1994,15112739516.3759
gbr,1995,17004891904.6868
gbr,1996,15614664586.5835
gbr,1997,15122789783.89
gbr,1998,15963895329.5793
gbr,1999,14777544086.7174
gbr,2000,14139809350.8852
gbr,2001,12857348495.7536
gbr,2002,16348920863.3094
gbr,2003,17965714285.7143
gbr,2004,18409007689.491
gbr,2005,13881818181.8182
gbr,2006,16202391904.3238
gbr,2007,17472989195.6783
gbr,2008,19876838235.2941
gbr,2009,16515033494.3138
gbr,2010,15000478718.3022
gbr,2011,18462179271.332
gbr,2012,17332046740.8033
gbr,2013,17871978358.6662
gbr,2014,23046432789.4381
gbr,2015,18758054856.699
gbr,2016,15434064387.0918
gbr,2017,16015390463.524
gbr,2018,16726663741.73
gbr,2019,17617060625.7149
gbr,2020,16056418970.1639
geo,1990,2326050560.32828
geo,1991,1688741721.8543
geo,1992,1931733860.99431
geo,1996,1026044817.63763
geo,1997,965626204.23892
geo,1998,948326515.61159
geo,1999,692214601.52264
geo,2000,629901331.193
geo,2001,674867342.0164
geo,2002,653367946.44077
geo,2003,770377965.23279
geo,2004,840306761.26878
geo,2005,946874827.60523
geo,2006,867389350.70771
geo,2007,935468422.62796
geo,2008,1040448081.56694
geo,2009,872253816.22269
geo,2010,1034674297.25635
geo,2011,1379602727.54225
geo,2012,1348028825.77363
geo,2013,1481123001.08212
geo,2014,1502916690.26448
geo,2015,1168466046.79857
geo,2016,1104829509.44353
geo,2017,1013588364.21598
geo,2018,1190126672.19131
geo,2019,1136823675.52606
geo,2020,1154998037.95433
gha,1960,497257380.4201
gha,1961,460838530.02314
gha,1962,523871155.7102
gha,1963,553286381.03082
gha,1964,612116831.67207
gha,1965,893662559.74092
gha,1966,920276335.03101
gha,1967,702824774.74756
gha,1968,696180128.27364
gha,1969,901112025.18799
gha,1970,1030542696.92337
gha,1971,1067394763.9646
gha,1972,985236460.50237
gha,1973,1207746478.87324
gha,1974,1480124223.60248
gha,1975,1339361702.12766
gha,1976,1398305084.74576
gha,1977,1792571428.57143
gha,1978,2223560209.42408
gha,1979,2410826210.82621
gha,1980,2574688796.6805
gha,1981,2241453358.05504
gha,1982,2314285714.28571
gha,1983,2423434690.84139
gha,1984,2172733202.87019
gha,1985,2022114118.25574
gha,1986,2736384499.11653
gha,1987,2567891156.46258
gha,1988,2578805480.46971
gha,1989,2571656682.42844
gha,1990,2641154597.63423
gha,1991,3002119565.21739
gha,1992,2872084668.19222
gha,1993,2203389830.50847
gha,1994,2057531380.75314
gha,1995,2507089241.03419
gha,1996,2701529051.98777
gha,1997,2465820312.5
gha,1998,2694204152.24914
gha,1999,2761702925.73143
gha,2000,1757588548.3575
gha,2001,1873069942.76141
gha,2002,2167364967.18829
gha,2003,2789293954.77619
gha,2004,3370694830.46137
gha,2005,4024204595.66947
gha,2006,5917423013.87826
gha,2007,6776540424.61934
gha,2008,8433860401.02632
gha,2009,8073190249.11032
gha,2010,9027708951.04895
gha,2011,9308666118.63738
gha,2012,9133738835.00466
gha,2013,12796955082.2651
gha,2014,10728548470.6207
gha,2015,9872741991.0623
gha,2016,11707233285.5901
gha,2017,11816521273.4168
gha,2018,12205768063.1584
gha,2019,11838268850.3853
gha,2020,13195804796.5402
gin,1986,474596269.63361
gin,1987,534886318.824
gin,1988,554891487.8673
gin,1989,573231085.72731
gin,1990,658392665.06475
gin,1991,550577091.36507
gin,1992,543799659.71224
gin,1993,570383603.05698
gin,1994,682317003.13443
gin,1995,684028903.53804
gin,1996,673177553.93686
gin,1997,761180801.68863
gin,1998,759447323.39515
gin,1999,744018792.11155
gin,2000,628481619.49553
gin,2001,615138715.61799
gin,2002,638175604.97444
gin,2003,716169478.51041
gin,2004,847577831.19296
gin,2005,654410868.40218
gin,2006,657671575.3144
gin,2007,1056600283.77093
gin,2008,1112876335.65574
gin,2009,1098927157.04239
gin,2010,1198325341.40775
gin,2011,1090354555.88801
gin,2012,1285610815.29479
gin,2013,1469699693.2676
gin,2014,1538323596.9713
gin,2015,1625014014.28976
gin,2016,1512024001.92348
gin,2017,2119496689.16239
gin,2018,2647192405.38
gin,2019,3268801490.81718
gin,2020,3711272319.85972
gmb,1966,14252114.01691
gmb,1967,15065656.84084
gmb,1968,13272212.3554
gmb,1969,14544232.70772
gmb,1970,15816253.06005
gmb,1971,16913267.78935
gmb,1972,19087593.06451
gmb,1973,24230498.1203
gmb,1974,30860950.37699
gmb,1975,36919247.78761
gmb,1976,36617693.30997
gmb,1977,42804186.65504
gmb,1978,48017452.17433
gmb,1979,55284897.26753
gmb,1980,65136548.5183
gmb,1981,67003316.24962
gmb,1982,76588774.84167
gmb,1983,68919123.77776
gmb,1984,49663792.86292
gmb,1985,59541847.50507
gmb,1986,53487364.62094
gmb,1987,67426198.68823
gmb,1988,73080019.08056
gmb,1989,73632575.55778
gmb,1990,77186191.14101
gmb,1991,125353288.06495
gmb,1992,123749676.81014
gmb,1993,129915880.36514
gmb,1994,143555782.8383
gmb,1995,167879037.75028
gmb,1996,152223665.94537
gmb,1997,165389953.13817
gmb,1998,161364508.46088
gmb,1999,195633395.05577
gmb,2000,192067033.68889
gmb,2001,174778035.5959
gmb,2002,139499051.10002
gmb,2003,130274558.80549
gmb,2004,303023719.53473
gmb,2005,329796156.8342
gmb,2006,269855417.82318
gmb,2007,301577741.68389
gmb,2008,465026175.62769
gmb,2009,460190824.33832
gmb,2010,543134649.43596
gmb,2011,383471041.8682
gmb,2012,387620745.01747
gmb,2013,360713865.77525
gmb,2014,276122579.25383
gmb,2015,306077729.83706
gmb,2016,324549631.67906
gmb,2017,316059561.58588
gmb,2018,331988928.76279
gmb,2019,362795032.20974
gmb,2020,383962626.47641
gnb,1970,37363435.13432
gnb,1971,35225728.56891
gnb,1972,40151428.56856
gnb,1973,38325932.20339
gnb,1974,40873026.31579
gnb,1975,52064670.36759
gnb,1976,54046330.05699
gnb,1977,53064271.43546
gnb,1978,63311959.65418
gnb,1979,61152104.73683
gnb,1980,46690754.11011
gnb,1981,76237727.27273
gnb,1982,77398316.22494
gnb,1983,69424207.83468
gnb,1984,57215803.17826
gnb,1985,66875006.25104
gnb,1986,58925799.62473
gnb,1987,93018287.74199
gnb,1988,88784722.08877
gnb,1989,103713240.09949
gnb,1990,138902320.33889
gnb,1991,131857197.93271
gnb,1992,108256173.85794
gnb,1993,125178748.49619
gnb,1994,123135501.2539
gnb,1995,131548736.49066
gnb,1996,146689707.57495
gnb,1997,144066144.29333
gnb,1998,126798494.38547
gnb,1999,123537307.26584
gnb,2000,154853226.09714
gnb,2001,147264252.74137
gnb,2002,174776838.61285
gnb,2003,202184041.52183
gnb,2004,223422169.46247
gnb,2005,260396041.10622
gnb,2006,250336124.41657
gnb,2007,300896071.46342
gnb,2008,405147982.06278
gnb,2009,365254966.3678
gnb,2010,383193581.65605
gnb,2011,495165396.77784
gnb,2012,463893991.71061
gnb,2013,461697073.65626
gnb,2014,433911559.38353
gnb,2015,490446992.16879
gnb,2016,546449442.93473
gnb,2017,663717477.12547
gnb,2018,462278095.19009
gnb,2019,437600843.30214
gnb,2020,441887050.76218
gnq,2006,153139254.30984
gnq,2007,179459541.11572
gnq,2008,176306533.21879
gnq,2009,159024097.05661
gnq,2010,173156817.97741
gnq,2011,225000125.65182
gnq,2012,236344142.48057
gnq,2013,261628059.14318
gnq,2014,281699109.22665
gnq,2015,248993720.01995
gnq,2016,262162551.36814
gnq,2017,282507695.15109
gnq,2018,295727873.52663
gnq,2019,277487530.26074
gnq,2020,300139333.90684
grc,1995,10095883218.1203
grc,1996,9604879671.57418
grc,1997,8935376263.5717
grc,1998,8615210423.15231
grc,1999,8246620052.78149
grc,2000,7090702844.58041
grc,2001,7091766560.0819
grc,2002,7708292425.27923
grc,2003,10118069083.0674
grc,2004,10302174376.3271
grc,2005,10619537147.7167
grc,2006,8756882695.77881
grc,2007,9686187938.79846
grc,2008,9991246356.97265
grc,2009,9293051711.7871
grc,2010,8879082826.60002
grc,2011,8811790824.01753
grc,2012,8328394601.21602
grc,2013,8081298113.95061
grc,2014,8439133841.25409
grc,2015,7562587427.71445
grc,2016,6789814535.96266
grc,2017,7706777619.73884
grc,2018,7708863610.69411
grc,2019,7753679721.36469
grc,2020,7989248307.10975
grd,1977,12666570
grd,1978,14169442.22222
grd,1979,17728418.88889
grd,1980,18274933.33333
grd,1981,19814814.81481
grd,1982,17903884.81481
grd,1983,17707775.92593
grd,1984,18915074.44444
grd,1985,18560787.40741
grd,1986,20798969.62963
grd,1987,26445054.81481
grd,1988,27626594.44444
grd,1989,27453844.07407
grd,1990,24708504.44444
grd,1991,26823703.7037
grd,1992,24145259.25926
grd,1993,23027629.62963
grd,1994,23136814.81481
