geo,time,sp_pop_65up_to_zs
bfa,2000,2.76487
bfa,2001,2.73048
bfa,2002,2.6923
bfa,2003,2.65138
bfa,2004,2.60903
bfa,2005,2.56583
bfa,2006,2.55247
bfa,2007,2.5364
bfa,2008,2.5173
bfa,2009,2.4944
bfa,2010,2.46791
bfa,2011,2.46121
bfa,2012,2.45092
bfa,2013,2.43796
bfa,2014,2.42328
bfa,2015,2.40787
bfa,2016,2.40973
bfa,2017,2.40863
bfa,2018,2.40698
bfa,2019,2.40729
bfa,2020,2.41103
bgd,1960,2.6931
bgd,1961,2.69921
bgd,1962,2.69996
bgd,1963,2.69476
bgd,1964,2.6835
bgd,1965,2.66798
bgd,1966,2.70422
bgd,1967,2.73072
bgd,1968,2.74813
bgd,1969,2.75932
bgd,1970,2.7684
bgd,1971,2.83324
bgd,1972,2.89379
bgd,1973,2.9513
bgd,1974,3.00496
bgd,1975,3.05385
bgd,1976,3.08752
bgd,1977,3.10635
bgd,1978,3.11091
bgd,1979,3.10395
bgd,1980,3.08868
bgd,1981,3.09786
bgd,1982,3.09633
bgd,1983,3.08413
bgd,1984,3.06174
bgd,1985,3.03092
bgd,1986,3.06111
bgd,1987,3.08665
bgd,1988,3.10809
bgd,1989,3.12633
bgd,1990,3.14289
bgd,1991,3.19574
bgd,1992,3.24515
bgd,1993,3.29185
bgd,1994,3.33612
bgd,1995,3.37901
bgd,1996,3.47588
bgd,1997,3.56969
bgd,1998,3.66256
bgd,1999,3.75685
bgd,2000,3.85411
bgd,2001,3.94901
bgd,2002,4.03893
bgd,2003,4.12606
bgd,2004,4.21367
bgd,2005,4.30387
bgd,2006,4.41405
bgd,2007,4.51926
bgd,2008,4.61618
bgd,2009,4.70092
bgd,2010,4.77182
bgd,2011,4.8659
bgd,2012,4.95112
bgd,2013,5.02287
bgd,2014,5.07424
bgd,2015,5.10336
bgd,2016,5.13561
bgd,2017,5.14948
bgd,2018,5.15839
bgd,2019,5.18035
bgd,2020,5.227
bgr,1960,7.57512
bgr,1961,7.70322
bgr,1962,7.85314
bgr,1963,8.02416
bgr,1964,8.21238
bgr,1965,8.4174
bgr,1966,8.64201
bgr,1967,8.87183
bgr,1968,9.10874
bgr,1969,9.35673
bgr,1970,9.61856
bgr,1971,9.88167
bgr,1972,10.13617
bgr,1973,10.3827
bgr,1974,10.62489
bgr,1975,10.86584
bgr,1976,11.1335
bgr,1977,11.40557
bgr,1978,11.64721
bgr,1979,11.80338
bgr,1980,11.84855
bgr,1981,11.79545
bgr,1982,11.6323
bgr,1983,11.43527
bgr,1984,11.313
bgr,1985,11.3282
bgr,1986,11.5837
bgr,1987,11.93958
bgr,1988,12.35429
bgr,1989,12.76736
bgr,1990,13.14603
bgr,1991,13.57945
bgr,1992,13.98344
bgr,1993,14.36718
bgr,1994,14.74021
bgr,1995,15.10632
bgr,1996,15.48572
bgr,1997,15.83924
bgr,1998,16.15352
bgr,1999,16.4093
bgr,2000,16.59466
bgr,2001,16.855
bgr,2002,17.04297
bgr,2003,17.17474
bgr,2004,17.27201
bgr,2005,17.35077
bgr,2006,17.48071
bgr,2007,17.59051
bgr,2008,17.7039
bgr,2009,17.85834
bgr,2010,18.07867
bgr,2011,18.41207
bgr,2012,18.81419
bgr,2013,19.24929
bgr,2014,19.66189
bgr,2015,20.01883
bgr,2016,20.42934
bgr,2017,20.7576
bgr,2018,21.02191
bgr,2019,21.25297
bgr,2020,21.46793
bhr,1960,2.9915
bhr,1961,2.83274
bhr,1962,2.63422
bhr,1963,2.39418
bhr,1964,2.1095
bhr,1965,1.78519
bhr,1966,1.87402
bhr,1967,1.98559
bhr,1968,2.12456
bhr,1969,2.29418
bhr,1970,2.499
bhr,1971,2.48012
bhr,1972,2.47387
bhr,1973,2.46736
bhr,1974,2.44531
bhr,1975,2.40599
bhr,1976,2.3228
bhr,1977,2.22974
bhr,1978,2.14423
bhr,1979,2.08665
bhr,1980,2.0637
bhr,1981,2.20624
bhr,1982,2.34435
bhr,1983,2.47015
bhr,1984,2.56811
bhr,1985,2.63478
bhr,1986,2.53207
bhr,1987,2.42822
bhr,1988,2.32976
bhr,1989,2.24554
bhr,1990,2.18236
bhr,1991,2.2489
bhr,1992,2.31071
bhr,1993,2.35784
bhr,1994,2.38563
bhr,1995,2.40076
bhr,1996,2.44269
bhr,1997,2.47508
bhr,1998,2.48379
bhr,1999,2.47337
bhr,2000,2.45316
bhr,2001,2.38924
bhr,2002,2.34144
bhr,2003,2.30549
bhr,2004,2.27308
bhr,2005,2.24031
bhr,2006,2.17859
bhr,2007,2.12893
bhr,2008,2.09305
bhr,2009,2.07463
bhr,2010,2.07977
bhr,2011,2.14286
bhr,2012,2.20186
bhr,2013,2.25341
bhr,2014,2.29486
bhr,2015,2.32423
bhr,2016,2.34249
bhr,2017,2.3723
bhr,2018,2.42633
bhr,2019,2.51881
bhr,2020,2.65119
bhs,1960,3.7906
bhs,1961,3.70045
bhs,1962,3.61216
bhs,1963,3.54801
bhs,1964,3.49864
bhs,1965,3.45426
bhs,1966,3.41504
bhs,1967,3.38226
bhs,1968,3.37098
bhs,1969,3.3701
bhs,1970,3.38299
bhs,1971,3.45968
bhs,1972,3.51388
bhs,1973,3.55834
