geo,time,er_gdp_fwtl_m3_kd
mwi,2012,4.10921
mwi,2017,5.00648
mys,1992,10.29377
mys,1997,25.08089
mys,2002,27.46846
mys,2007,35.47197
mys,2012,42.29582
mys,2017,49.65869
nam,1987,21.19037
nam,1992,17.8104
nam,1997,18.46154
nam,2002,21.09171
nam,2007,28.55416
nam,2012,34.41827
nam,2017,39.81032
ner,1992,6.38869
ner,1997,5.51866
ner,2002,5.66682
ner,2007,5.5601
ner,2012,5.92536
ner,2017,6.15292
nga,1987,22.12705
nga,1992,21.45927
nga,1997,17.76666
nga,2002,20.04683
nga,2007,25.63135
nga,2012,33.52944
nga,2017,38.71007
nic,2002,5.21945
nic,2007,6.11631
nic,2012,7.17412
nic,2017,9.04327
nld,1982,39.46751
nld,1987,46.93196
nld,1992,63.00369
nld,1997,80.45466
nld,2002,68.98749
nld,2007,67.56406
nld,2012,69.12232
nld,2017,100.7463
nor,1982,81.20687
nor,1987,94.0487
nor,1992,97.30714
nor,1997,116.98864
nor,2002,122.79176
nor,2007,117.68901
nor,2012,134.4363
nor,2017,148.2646
npl,2002,1.4812
npl,2007,1.7901
npl,2012,2.24786
npl,2017,2.80746
nzl,1982,52.01018
nzl,1987,42.35158
nzl,1992,34.8918
nzl,1997,36.75226
nzl,2002,33.09439
nzl,2007,30.84447
nzl,2012,21.36504
nzl,2017,19.38029
omn,1992,24.31455
omn,1997,29.88333
omn,2002,33.56762
omn,2007,34.35917
omn,2012,38.58666
omn,2017,44.15956
pak,1977,0.28506
pak,1982,0.40315
pak,1987,0.54406
pak,1992,0.71519
pak,1997,0.79188
pak,2002,0.888
pak,2007,1.14971
pak,2012,1.25827
pak,2017,1.50684
pan,2012,39.41672
pan,2017,49.48426
per,2012,11.43219
per,2017,12.55646
phl,2007,2.46904
phl,2012,3.01276
phl,2017,3.78559
png,2002,34.36445
png,2007,35.53564
png,2012,44.09603
png,2017,60.51021
pol,1992,13.90184
pol,1997,19.21388
pol,2002,24.8148
pol,2007,30.91677
pol,2012,38.22804
pol,2017,51.25298
pri,1992,87.57759
pri,1997,103.36402
pri,2002,116.99062
pri,2007,110.37832
pri,2012,110.45184
pri,2017,113.28477
prt,1992,15.23566
prt,1997,14.60604
prt,2002,17.64738
prt,2007,22.9889
prt,2012,21.43834
prt,2017,23.01211
pry,1987,32.30939
pry,1992,38.06031
pry,1997,45.27054
pry,2002,25.00776
pry,2007,15.21597
pry,2012,12.78195
pry,2017,16.39993
pse,2001,23.99854
pse,2005,21.42181
qat,2002,200.9103
qat,2007,329.49683
qat,2012,564.38186
qat,2017,654.70308
rou,1992,4.58309
rou,1997,8.19267
rou,2002,12.3115
rou,2007,22.60014
rou,2012,24.77056
rou,2017,29.48596
rus,1992,9.46395
rus,1997,9.71228
rus,2002,13.05807
rus,2007,19.40084
rus,2012,21.20209
rus,2017,21.59703
rwa,2002,20.54592
rwa,2007,25.8039
rwa,2012,38.36655
rwa,2017,51.16206
sau,1992,21.02055
sau,1997,19.02751
sau,2002,17.24849
sau,2007,20.73355
sau,2012,27.3293
sau,2017,31.14471
sdn,2012,2.01267
sdn,2017,2.59452
sen,1987,5.49508
sen,1992,5.49312
sen,1997,5.81538
sen,2002,4.91162
sen,2007,5.95684
sen,2012,6.91644
sen,2017,9.14244
sgp,1977,79.40293
sgp,1982,59.96997
sgp,1987,52.31831
sgp,1992,60.20363
sgp,1997,74.19417
sgp,2002,71.16037
sgp,2007,111.89737
sgp,2012,285.83514
sgp,2017,675.96864
sle,1987,6.68295
sle,1992,15.73488
sle,1997,10.50438
sle,2002,11.03686
sle,2007,14.1394
sle,2012,19.83775
sle,2017,21.97269
slv,1992,18.81391
slv,1997,14.59953
slv,2002,10.74894
slv,2007,9.49527
slv,2012,10.39293
slv,2017,11.60305
som,2017,1.28069
srb,2007,9.26497
srb,2012,8.73696
srb,2017,7.78147
ssd,2012,17.47801
stp,2002,7.90839
stp,2007,7.74321
stp,2012,7.78067
stp,2017,8.35945
sur,1987,5.41254
sur,1992,5.09262
sur,1997,4.56335
sur,2002,4.79916
sur,2007,6.80878
sur,2012,8.35028
sur,2017,8.03813
svk,1997,34.83806
svk,2002,47.3302
svk,2007,107.22586
svk,2012,122.78208
svk,2017,167.27573
svn,2002,38.36227
svn,2007,46.52873
svn,2012,44.6654
svn,2017,50.03944
swe,1972,49.42528
swe,1977,53.74607
swe,1982,66.32934
swe,1987,93.86933
swe,1992,97.24253
swe,1997,118.1138
swe,2002,141.33558
swe,2007,170.94478
swe,2012,181.54007
swe,2017,222.65334
swz,1982,1.27847
swz,1987,1.6113
swz,1992,2.19756
swz,1997,2.34934
swz,2002,2.49125
swz,2007,3.10058
swz,2012,3.55115
swz,2017,3.9238
syc,1992,54.84269
syc,1997,68.56831
syc,2002,77.48532
syc,2007,93.65156
syc,2012,104.90494
syc,2017,133.68061
tcd,1987,11.90666
tcd,1992,7.1317
tcd,1997,4.64071
tcd,2002,4.40633
tcd,2007,8.06731
tcd,2012,10.721
tcd,2017,11.32172
tgo,1987,19.90532
tgo,1992,15.76769
tgo,1997,16.53868
tgo,2002,15.41911
tgo,2007,11.94232
tgo,2012,15.77481
tgo,2017,20.65095
tha,2007,5.5744
tha,2012,6.54762
tha,2017,7.54572
tjk,1997,0.19692
tjk,2002,0.28494
tjk,2007,0.44468
tjk,2012,0.63769
tjk,2017,0.90884
tkm,1997,0.32366
tkm,2002,0.41576
tkm,2007,0.58605
tkm,2012,0.99246
tkm,2017,1.4531
tls,2007,0.82425
tls,2012,1.23937
tls,2017,1.34849
tto,1997,36.28817
tto,2002,46.35624
tto,2007,74.02093
tto,2012,72.21953
tto,2017,67.98865
tun,1977,6.78547
tun,1982,5.9079
tun,1987,5.7347
tun,1992,6.18438
tun,1997,8.13991
tun,2002,9.73632
tun,2007,12.26094
tun,2012,11.60863
tun,2017,9.34382
tur,1992,9.66676
tur,1997,11.17008
tur,2002,10.41117
tur,2007,14.23524
tur,2012,14.16873
tur,2017,15.99791
tza,1997,5.65797
tza,2002,4.04784
tza,2007,5.67464
tza,2012,7.55372
tza,2017,10.42976
uga,1982,19.70337
uga,1987,19.29855
uga,1992,23.93896
uga,1997,32.86946
uga,2002,38.49209
uga,2007,34.19413
uga,2012,44.20442
uga,2017,55.06593
ukr,1992,4.91614
ukr,1997,3.05816
ukr,2002,4.53906
ukr,2007,7.52709
ukr,2012,8.38824
ukr,2017,11.0435
ury,1967,19.67078
ury,1972,14.03203
ury,1977,12.05674
ury,1982,10.42342
ury,1987,9.15885
ury,1992,9.00869
ury,1997,9.78931
ury,2002,8.11445
ury,2007,10.23669
ury,2012,13.42453
ury,2017,15.04272
usa,1982,14.05057
usa,1987,18.53021
usa,1992,21.7207
usa,1997,25.59125
usa,2002,29.68258
usa,2007,35.95636
usa,2012,39.49767
usa,2017,42.71675
