geo,time,sl_tlf_cact_fe_zs
chl,1995,36.143
chl,1996,36.963
chl,1997,37.689
chl,1998,38.045
chl,1999,38.281
chl,2000,37.877
chl,2001,36.896
chl,2002,36.611
chl,2003,37.957
chl,2004,39.37
chl,2005,40.281
chl,2006,41.437
chl,2007,42.379
chl,2008,44.32
chl,2009,44.752
chl,2010,45.558
chl,2011,47.536
chl,2012,47.792
chl,2013,47.942
chl,2014,48.606
chl,2015,48.462
chl,2016,48.234
chl,2017,48.742
chl,2018,49.318
chl,2019,49.487
chl,2020,44.573
chl,2021,44.172
chn,1990,73.022
chn,1991,72.778
chn,1992,72.532
chn,1993,72.285
chn,1994,72.037
chn,1995,71.788
chn,1996,71.538
chn,1997,71.286
chn,1998,71.033
chn,1999,70.778
chn,2000,70.522
chn,2001,69.868
chn,2002,69.206
chn,2003,68.536
chn,2004,67.857
chn,2005,67.17
chn,2006,66.476
chn,2007,65.774
chn,2008,65.065
chn,2009,64.349
chn,2010,63.626
chn,2011,63.816
chn,2012,63.681
chn,2013,63.567
chn,2014,63.568
chn,2015,63.565
chn,2016,63.468
chn,2017,63.292
chn,2018,63.114
chn,2019,63.014
chn,2020,61.818
chn,2021,61.612
civ,1990,47.169
civ,1991,47.22
civ,1992,47.299
civ,1993,47.4
civ,1994,47.515
civ,1995,47.636
civ,1996,47.671
civ,1997,47.718
civ,1998,47.777
civ,1999,47.658
civ,2000,47.544
civ,2001,47.435
civ,2002,47.332
civ,2003,47.232
civ,2004,47.136
civ,2005,47.042
civ,2006,46.952
civ,2007,46.864
civ,2008,46.778
civ,2009,46.696
civ,2010,46.617
civ,2011,46.543
civ,2012,46.472
civ,2013,46.404
civ,2014,46.34
civ,2015,46.28
civ,2016,46.224
civ,2017,46.172
civ,2018,46.254
civ,2019,46.332
civ,2020,45.901
civ,2021,45.92
cmr,1990,78.96
cmr,1991,78.94
cmr,1992,78.934
cmr,1993,78.941
cmr,1994,78.964
cmr,1995,79.002
cmr,1996,79.028
cmr,1997,79.07
cmr,1998,79.124
cmr,1999,79.187
cmr,2000,79.252
cmr,2001,79.29
cmr,2002,79.329
cmr,2003,79.369
cmr,2004,79.411
cmr,2005,79.453
cmr,2006,79.466
cmr,2007,79.487
cmr,2008,76.732
cmr,2009,73.727
cmr,2010,70.477
cmr,2011,70.486
cmr,2012,70.499
cmr,2013,70.517
cmr,2014,70.543
cmr,2015,70.578
cmr,2016,70.612
cmr,2017,70.656
cmr,2018,70.71
cmr,2019,70.772
cmr,2020,70.098
cmr,2021,70.154
cod,1990,71.487
cod,1991,71.433
cod,1992,71.39
cod,1993,71.358
cod,1994,71.345
cod,1995,71.363
cod,1996,71.314
cod,1997,71.293
cod,1998,71.295
cod,1999,71.309
cod,2000,71.321
cod,2001,71.286
cod,2002,71.262
cod,2003,71.244
cod,2004,71.232
cod,2005,71.226
cod,2006,70.047
cod,2007,68.841
cod,2008,67.61
cod,2009,66.354
cod,2010,65.075
cod,2011,63.774
cod,2012,62.452
cod,2013,62.436
cod,2014,62.434
cod,2015,62.448
cod,2016,62.447
cod,2017,62.467
cod,2018,62.507
cod,2019,62.563
cod,2020,60.87
cod,2021,61.209
cog,1990,65.86
cog,1991,65.95
cog,1992,66.053
cog,1993,66.162
cog,1994,66.267
cog,1995,66.365
cog,1996,66.448
cog,1997,66.525
cog,1998,66.595
cog,1999,66.66
cog,2000,66.722
cog,2001,66.747
cog,2002,66.776
cog,2003,66.804
cog,2004,66.824
cog,2005,66.832
cog,2006,66.854
cog,2007,66.867
cog,2008,66.874
cog,2009,66.885
cog,2010,66.908
cog,2011,66.825
cog,2012,66.766
cog,2013,66.728
cog,2014,66.708
cog,2015,66.704
cog,2016,66.734
cog,2017,66.784
cog,2018,66.854
cog,2019,66.941
cog,2020,64.162
cog,2021,65.062
col,1990,51.198
col,1991,51.266
col,1992,51.662
col,1993,52.278
col,1994,52.977
col,1995,53.602
col,1996,53.723
col,1997,54.098
col,1998,54.034
col,1999,53.18
col,2000,53.493
col,2001,53.624
col,2002,52.572
col,2003,53.92
col,2004,52.123
col,2005,51.34
col,2006,51.336
col,2007,49.194
col,2008,49.923
col,2009,53.509
col,2010,55.393
col,2011,56.223
col,2012,57.724
col,2013,57.56
col,2014,57.644
col,2015,58.188
col,2016,57.879
col,2017,57.735
col,2018,57.012
col,2019,56.001
col,2020,50.267
col,2021,52.182
com,1990,31.223
com,1991,31.214
com,1992,31.224
com,1993,31.252
com,1994,31.3
com,1995,31.368
com,1996,31.44
com,1997,31.526
com,1998,31.626
com,1999,31.74
com,2000,31.866
com,2001,31.974
com,2002,32.094
com,2003,32.221
com,2004,32.347
com,2005,32.368
com,2006,32.39
com,2007,32.414
com,2008,32.438
com,2009,32.464
com,2010,32.491
com,2011,32.52
com,2012,32.549
com,2013,32.58
com,2014,32.613
com,2015,32.696
com,2016,32.764
com,2017,32.849
com,2018,32.948
com,2019,33.054
com,2020,31.914
com,2021,32.119
cpv,1990,41.177
cpv,1991,41.4
cpv,1992,41.655
cpv,1993,41.938
cpv,1994,42.242
cpv,1995,42.562
cpv,1996,42.889
cpv,1997,43.217
cpv,1998,43.541
cpv,1999,43.855
cpv,2000,44.155
cpv,2001,44.45
cpv,2002,44.736
cpv,2003,45.014
cpv,2004,45.288
cpv,2005,45.566
cpv,2006,45.896
cpv,2007,46.243
cpv,2008,46.606
cpv,2009,46.987
cpv,2010,47.387
cpv,2011,47.877
cpv,2012,48.428
cpv,2013,49.034
cpv,2014,49.678
cpv,2015,50.342
cpv,2016,50.987
cpv,2017,51.659
cpv,2018,48.596
cpv,2019,49.797
cpv,2020,45.355
cpv,2021,46.91
cri,1990,32.756
cri,1991,33.212
cri,1992,32.478
cri,1993,33.383
cri,1994,34.513
cri,1995,35.407
cri,1996,33.89
cri,1997,36.928
cri,1998,39.239
cri,1999,39.726
cri,2000,38.427
cri,2001,42.273
cri,2002,42.091
cri,2003,42.591
cri,2004,40.888
cri,2005,44.576
cri,2006,44.462
cri,2007,45.598
cri,2008,46.2
cri,2009,46.341
cri,2010,43.941
cri,2011,44.223
cri,2012,49.293
cri,2013,49.03
cri,2014,48.783
cri,2015,47.66
cri,2016,43.793
cri,2017,43.999
cri,2018,46.482
cri,2019,50.448
cri,2020,46.501
cri,2021,47.527
cub,1990,37.981
cub,1991,36.975
cub,1992,35.897
cub,1993,34.497
cub,1994,34.571
cub,1995,34.782
cub,1996,35.506
cub,1997,35.752
cub,1998,35.745
cub,1999,36.28
cub,2000,36.832
cub,2001,37.117
cub,2002,37.3
cub,2003,37.72
cub,2004,38.293
cub,2005,39.296
cub,2006,40.349
cub,2007,40.953
cub,2008,41.246
cub,2009,42.421
cub,2010,41.905
cub,2011,41.68
cub,2012,41.885
cub,2013,42.056
cub,2014,42.044
cub,2015,42.347
cub,2016,42.226
cub,2017,42.234
cub,2018,42.287
cub,2019,42.176
cub,2020,39.711
cub,2021,40.285
cyp,1990,41.909
cyp,1991,42.557
cyp,1992,42.991
cyp,1993,43.702
cyp,1994,44.415
cyp,1995,45.127
cyp,1996,45.842
cyp,1997,46.555
cyp,1998,47.266
cyp,1999,47.975
cyp,2000,48.68
cyp,2001,51.342
cyp,2002,52.009
cyp,2003,53.391
cyp,2004,53.064
cyp,2005,52.891
cyp,2006,54.021
cyp,2007,55.511
cyp,2008,55.635
cyp,2009,56.427
cyp,2010,57.585
cyp,2011,57.201
cyp,2012,56.662
cyp,2013,56.791
cyp,2014,58.342
cyp,2015,57.509
cyp,2016,56.179
cyp,2017,56.646
cyp,2018,57.213
cyp,2019,57.3
cyp,2020,56.414
cyp,2021,56.648
cze,1990,52.376
cze,1991,52.349
cze,1992,52.345
cze,1993,52.338
cze,1994,52.583
cze,1995,52.332
cze,1996,51.825
cze,1997,51.564
cze,1998,51.661
cze,1999,51.907
cze,2000,51.503
cze,2001,51.11
