geo,time,se_prm_gint_fe_zs
caf,2016,115.69286
can,1998,103.7013
can,1999,102.43324
can,2000,101.17635
can,2006,96.95341
can,2007,96.06167
can,2008,97.21492
can,2009,99.67904
can,2010,100.9462
can,2011,100.43039
che,1977,97.22649
che,1978,96.58981
che,1979,96.50889
che,1980,95.82468
che,1981,90.77191
che,1982,91.79793
che,1983,90.74973
che,1984,93.44276
che,1985,92.91297
che,1986,94.57201
che,1987,98.37288
che,1988,100.68201
che,1989,103.8531
che,1990,104.47658
che,1991,99.55913
che,1992,99.8438
che,1993,98.60211
che,1994,96.72973
che,1996,103.46027
che,1998,104.64399
che,1999,99.46056
che,2000,98.72904
che,2001,94.34522
che,2002,92.52253
che,2003,93.2522
che,2004,94.02088
che,2005,93.91699
che,2006,94.32027
che,2007,95.44852
che,2008,94.64971
che,2009,94.21146
che,2010,95.63043
che,2011,97.46659
che,2012,99.60376
che,2013,97.11105
che,2014,97.20415
che,2015,98.84066
che,2016,99.49892
che,2017,101.6486
chl,1970,128.43203
chl,1971,149.02935
chl,1972,135.48002
chl,1973,131.02533
chl,1974,127.41589
chl,1975,115.50829
chl,1976,111.2095
chl,1977,111.97742
chl,1983,85.05386
chl,1997,102.03398
chl,1998,97.598
chl,1999,96.35307
chl,2000,96.26703
chl,2002,95.71738
chl,2003,96.71349
chl,2004,97.21039
chl,2005,99.09391
chl,2006,98.79626
chl,2007,102.26918
chl,2008,99.38235
chl,2009,98.06649
chl,2010,95.45875
chl,2011,93.40158
chl,2012,92.8038
chl,2013,95.5038
chl,2014,96.81469
chl,2015,98.88175
chl,2017,99.17928
chn,1996,95.12923
chn,1997,93.12264
chn,2002,107.83846
chn,2003,110.63167
chn,2006,95.59041
chn,2007,99.97687
chn,2008,101.49513
chn,2009,100.96838
chn,2010,99.81012
chn,2011,103.11318
chn,2013,104.43849
chn,2014,102.26367
chn,2015,98.88078
chn,2016,102.60545
chn,2017,103.20738
chn,2018,103.25703
civ,1973,44.12072
civ,1974,45.31527
civ,1976,47.62039
civ,1977,50.99181
civ,1978,58.17342
civ,1979,58.21625
civ,1980,58.0787
civ,1981,58.46352
civ,1983,54.12809
civ,1984,52.40073
civ,1985,51.80205
civ,1986,54.60968
civ,1987,54.10127
civ,1988,55.92682
civ,1989,54.86594
civ,1990,54.92881
civ,1991,52.84027
civ,1992,50.32017
civ,1993,55.29948
civ,1994,57.0852
civ,1995,57.31735
civ,1996,58.76472
civ,1997,61.9154
civ,1998,60.53977
civ,1999,59.57575
civ,2000,57.82282
civ,2001,57.83868
civ,2002,60.65329
civ,2003,65.53101
civ,2006,56.3746
civ,2007,58.38297
civ,2008,66.15635
civ,2009,64.27911
civ,2011,69.95185
civ,2012,77.60227
civ,2013,78.58528
civ,2014,92.34533
civ,2015,94.12656
civ,2016,104.61812
civ,2017,99.76985
civ,2018,98.95423
cmr,1973,82.54449
cmr,1974,83.9508
cmr,1975,86.68898
cmr,1976,88.74152
cmr,1977,83.58234
cmr,1978,93.96287
cmr,1979,84.36506
cmr,1980,81.35827
cmr,1981,83.35714
cmr,1982,83.06465
cmr,1983,86.06035
cmr,1984,80.96838
cmr,1985,82.71329
cmr,1986,81.60325
cmr,1987,84.85527
cmr,1988,82.10544
cmr,1990,74.75063
cmr,1991,74.60917
cmr,1999,65.64598
cmr,2000,69.11674
cmr,2001,107.68236
cmr,2002,93.2638
cmr,2003,86.29517
cmr,2004,88.44403
cmr,2005,90.6202
cmr,2006,93.18541
cmr,2007,96.05681
cmr,2008,101.38272
cmr,2009,107.46719
cmr,2010,110.73268
cmr,2011,112.23663
cmr,2012,115.69646
cmr,2014,119.71853
cmr,2015,123.66167
cmr,2016,122.77907
