geo,time,is_air_psgr
chn,1998,53234000
chn,1999,55853100
chn,2000,61891807
chn,2001,72660653
chn,2002,83671798
chn,2003,86040642
chn,2004,119789024
chn,2005,136721623
chn,2006,158013351
chn,2007,183613132
chn,2008,191001220
chn,2009,229062099
chn,2010,266293020
chn,2011,292160158
chn,2012,318475924
chn,2013,352795296
chn,2014,390878784
chn,2015,436183969
chn,2016,487960477
chn,2017,551234509
chn,2018,611439830
chn,2019,659629070
chn,2020,417255845
civ,1970,108700
civ,1971,51000
civ,1972,47900
civ,1973,51600
civ,1974,56500
civ,1975,95000
civ,1976,113700
civ,1977,120400
civ,1978,132200
civ,1979,137300
civ,1980,151100
civ,1981,379100
civ,1982,382300
civ,1983,388500
civ,1984,397700
civ,1985,182700
civ,1986,184900
civ,1987,183400
civ,1988,190700
civ,1989,218200
civ,1990,200200
civ,1991,177700
civ,1992,195100
civ,1993,186200
civ,1994,156900
civ,1995,174700
civ,1996,178700
civ,1997,157600
civ,1998,162400
civ,1999,259600
civ,2000,107979
civ,2001,46364
civ,2010,516085
civ,2011,89791.86777
civ,2012,39485.4722
civ,2013,234996
civ,2014,237120
civ,2015,642893
civ,2016,667062
civ,2017,808471
civ,2018,825257
civ,2019,748540
civ,2020,322841
cmr,1970,65800
cmr,1971,108500
cmr,1972,130000
cmr,1973,211300
cmr,1974,228200
cmr,1975,239000
cmr,1976,296900
cmr,1977,346700
cmr,1978,392700
cmr,1979,402500
cmr,1980,480000
cmr,1981,485500
cmr,1982,634000
cmr,1983,631000
cmr,1984,676500
cmr,1985,718000
cmr,1986,536100
cmr,1987,561000
cmr,1988,582000
cmr,1989,403400
cmr,1990,284200
cmr,1991,356600
cmr,1992,363100
cmr,1993,274800
cmr,1994,295000
cmr,1995,345000
cmr,1996,361800
cmr,1997,279000
cmr,1998,277900
cmr,1999,292600
cmr,2000,273000
cmr,2001,324114
cmr,2002,243122
cmr,2003,315100
cmr,2004,355610
cmr,2005,384059
cmr,2006,424794
cmr,2007,453051
cmr,2008,470598
cmr,2009,466050
cmr,2010,0
cmr,2011,171007.2
cmr,2012,248027.2
cmr,2013,287208
cmr,2014,275760
cmr,2015,267208
cmr,2016,343592
cmr,2017,236000
cmr,2018,265136
cmr,2019,83882
cmr,2020,40884
cod,1970,305000
cod,1971,325900
cod,1972,327800
cod,1973,363700
cod,1974,464100
cod,1975,445000
cod,1976,462800
cod,1977,488100
cod,1978,569900
cod,1979,577700
cod,1980,439200
cod,1981,492600
cod,1982,377700
cod,1983,330700
cod,1984,338000
cod,1985,131500
cod,1986,168900
cod,1987,200800
cod,1988,216200
cod,1989,202600
cod,1990,206700
cod,1991,150400
cod,1992,116400
cod,1993,83700
cod,1994,177600
cod,2001,95200
cod,2010,210913
cod,2011,252408.17956
cod,2012,471536.20461
cod,2013,456000
cod,2014,456228
cod,2015,476353
cod,2016,416033
cod,2017,959738
cod,2018,587653.03075
cod,2019,550457.89263
cod,2020,277588.159
cog,1970,55800
cog,1971,58600
cog,1972,54900
cog,1973,58600
cog,1974,63500
cog,1975,69000
cog,1976,77400
cog,1977,85400
