geo,time,dt_nfl_nifc_cd
moz,2020,-9049183
mrt,1970,0
mrt,1971,0
mrt,1972,0
mrt,1973,0
mrt,1974,0
mrt,1975,0
mrt,1976,0
mrt,1977,0
mrt,1978,0
mrt,1979,0
mrt,1980,0
mrt,1981,0
mrt,1982,0
mrt,1983,0
mrt,1984,0
mrt,1985,0
mrt,1986,0
mrt,1987,0
mrt,1988,0
mrt,1989,0
mrt,1990,0
mrt,1991,0
mrt,1992,0
mrt,1993,0
mrt,1994,0
mrt,1995,0
mrt,1996,0
mrt,1997,0
mrt,1998,0
mrt,1999,0
mrt,2000,0
mrt,2001,-4345700
mrt,2002,-5120800
mrt,2003,-8807400
mrt,2004,4875500
mrt,2005,9823560
mrt,2006,-628901.88
mrt,2007,-4638696.24
mrt,2008,-1653582.85
mrt,2009,-1602342.5
mrt,2010,-1398925
mrt,2011,-1524352.5
mrt,2012,98602532.5
mrt,2013,-2981550
mrt,2014,-100000000
mrt,2015,0
mrt,2016,0
mrt,2017,0
mrt,2018,0
mrt,2019,-6000000
mrt,2020,41333333
mus,1970,0
mus,1971,0
mus,1972,0
mus,1973,0
mus,1974,0
mus,1975,0
mus,1976,0
mus,1977,0
mus,1978,0
mus,1979,0
mus,1980,0
mus,1981,0
mus,1982,0
mus,1983,0
mus,1984,0
mus,1985,0
mus,1986,0
mus,1987,0
mus,1988,0
mus,1989,0
mus,1990,0
mus,1991,0
mus,1992,0
mus,1993,0
mus,1994,0
mus,1995,0
mus,1996,0
mus,1997,0
mus,1998,0
mus,1999,0
mus,2000,0
mus,2001,0
mus,2002,0
mus,2003,0
mus,2004,0
mus,2005,0
mus,2006,0
mus,2007,0
mus,2008,0
mus,2009,0
mus,2010,75000000
mus,2011,0
mus,2012,0
mus,2013,0
mus,2014,0
mus,2015,-75000000
mus,2016,0
mus,2017,0
mus,2018,0
mus,2019,37500000
mus,2020,-4166667
mwi,1970,0
mwi,1971,0
mwi,1972,0
mwi,1973,0
mwi,1974,0
mwi,1975,0
mwi,1976,0
mwi,1977,0
mwi,1978,0
mwi,1979,0
mwi,1980,0
mwi,1981,0
mwi,1982,0
mwi,1983,0
mwi,1984,0
mwi,1985,0
mwi,1986,0
mwi,1987,0
mwi,1988,0
mwi,1989,0
mwi,1990,0
mwi,1991,0
mwi,1992,0
mwi,1993,0
mwi,1994,0
mwi,1995,0
mwi,1996,0
mwi,1997,0
mwi,1998,0
mwi,1999,0
mwi,2000,0
mwi,2001,-300
mwi,2002,-212600
mwi,2003,-203600
mwi,2004,-214600
mwi,2005,0
mwi,2006,0
mwi,2007,0
mwi,2008,20000000
mwi,2009,-2300000
mwi,2010,-5070000
mwi,2011,-5070000
mwi,2012,-4569999.1
mwi,2013,4009999
mwi,2014,4734426
mwi,2015,-2504490
mwi,2016,-2612143
mwi,2017,-2716453
mwi,2018,-2705129
mwi,2019,-1111111
mwi,2020,0
mys,1970,0
mys,1971,0
mys,1972,0
mys,1973,0
mys,1974,0
mys,1975,0
mys,1976,0
mys,1977,0
mys,1978,0
mys,1979,0
mys,1980,0
mys,1981,0
mys,1982,0
mys,1983,0
mys,1984,0
mys,1985,0
mys,1986,0
mys,1987,0
mys,1988,0
mys,1989,0
mys,1990,0
mys,1991,0
mys,1992,0
mys,1993,0
mys,1994,0
mys,1995,0
mys,1996,0
mys,1997,0
mys,1998,0
mys,1999,0
mys,2000,0
mys,2001,0
mys,2002,0
mys,2003,-86100
mys,2004,0
mys,2005,0
mys,2006,0
mys,2007,0
mys,2008,0
mys,2009,0
mys,2010,0
mys,2011,0
mys,2012,0
mys,2013,0
mys,2014,0
mys,2015,0
mys,2016,0
nam,2013,8254626
ner,1970,0
ner,1971,0
ner,1972,0
ner,1973,0
ner,1974,0
ner,1975,0
ner,1976,0
ner,1977,0
ner,1978,0
ner,1979,0
ner,1980,0
ner,1981,0
ner,1982,0
ner,1983,0
ner,1984,0
ner,1985,0
ner,1986,0
ner,1987,0
ner,1988,0
ner,1989,0
ner,1990,0
ner,1991,0
ner,1992,0
ner,1993,0
ner,1994,0
ner,1995,0
ner,1996,0
ner,1997,0
ner,1998,0
ner,1999,0
ner,2000,0
ner,2001,0
ner,2002,-176200
ner,2003,0
ner,2004,0
ner,2005,0
ner,2006,0
ner,2007,0
ner,2008,0
ner,2009,0
ner,2010,0
ner,2011,0
ner,2012,0
ner,2013,0
ner,2014,0
ner,2015,0
ner,2016,0
ner,2017,0
ner,2018,0
ner,2019,0
ner,2020,0
nga,1970,0
nga,1971,0
nga,1972,0
nga,1973,0
nga,1974,0
nga,1975,0
nga,1976,0
nga,1977,0
nga,1978,0
nga,1979,0
nga,1980,0
nga,1981,0
nga,1982,0
nga,1983,0
nga,1984,0
nga,1985,0
nga,1986,0
nga,1987,0
nga,1988,0
nga,1989,0
nga,1990,0
nga,1991,0
nga,1992,0
nga,1993,0
nga,1994,0
nga,1995,0
nga,1996,0
nga,1997,0
nga,1998,0
nga,1999,0
nga,2000,0
nga,2001,53012500
nga,2002,2886500
nga,2003,39504500
nga,2004,21294300
nga,2005,24100000
nga,2006,94538268.64
nga,2007,-88132680.91
nga,2008,-57316079.28
nga,2009,2334352.24
nga,2010,-40588414.62
nga,2011,195622350.14
nga,2012,-27290237.26
nga,2013,142997698
nga,2014,12962119
nga,2015,225673115
nga,2016,-33680249
nga,2017,-94814403
nga,2018,90534462
nga,2019,-103412060
nga,2020,278138324
nic,1970,0
nic,1971,0
nic,1972,0
nic,1973,0
nic,1974,0
nic,1975,0
nic,1976,0
nic,1977,0
nic,1978,0
nic,1979,0
nic,1980,0
nic,1981,0
nic,1982,0
nic,1983,0
nic,1984,0
nic,1985,0
nic,1986,0
nic,1987,0
nic,1988,0
nic,1989,0
nic,1990,0
nic,1991,0
nic,1992,0
nic,1993,0
nic,1994,0
nic,1995,0
nic,1996,0
nic,1997,0
nic,1998,0
nic,1999,0
nic,2000,0
nic,2001,-816700
nic,2002,-1372200
nic,2003,-872200
nic,2004,3755600
nic,2005,-1777776.91
nic,2006,29555833.3
nic,2007,-2375000
nic,2008,47513888.66
nic,2009,-3269444.68
nic,2010,29722222
nic,2011,7230670.88
nic,2012,2733750.5
nic,2013,-9001262
nic,2014,-13818262
nic,2015,-28135051
nic,2016,16616775
nic,2017,2582560
nic,2018,18764622
nic,2019,-7150337
nic,2020,-19727786
npl,1970,0
npl,1971,0
npl,1972,0
npl,1973,0
npl,1974,0
npl,1975,0
npl,1976,0
npl,1977,0
npl,1978,0
npl,1979,0
npl,1980,0
npl,1981,0
npl,1982,0
npl,1983,0
npl,1984,0
npl,1985,0
npl,1986,0
npl,1987,0
npl,1988,0
npl,1989,0
npl,1990,0
npl,1991,0
npl,1992,0
npl,1993,0
npl,1994,0
npl,1995,0
npl,1996,0
npl,1997,0
npl,1998,0
npl,1999,0
npl,2000,0
npl,2001,9700
npl,2002,-2999100
npl,2003,-3080200
npl,2004,-3420100
npl,2005,-3797826.26
npl,2006,-4217590.15
npl,2007,-4683856.36
npl,2008,4797883.2
npl,2009,-5778033.73
npl,2010,-7024117.54
npl,2011,-8341363.8
npl,2012,2535268.37
npl,2013,8020431
npl,2014,-9514352
npl,2015,-1876964
npl,2016,-3969180
npl,2017,1886530
npl,2018,14096187
npl,2019,19117682
npl,2020,-2635025
omn,2013,-1076924
pak,1970,0
pak,1971,0
pak,1972,0
pak,1973,0
pak,1974,0
pak,1975,0
pak,1976,0
pak,1977,0
pak,1978,0
pak,1979,0
pak,1980,0
pak,1981,0
pak,1982,0
pak,1983,0
pak,1984,0
pak,1985,0
pak,1986,0
pak,1987,0
pak,1988,0
pak,1989,0
pak,1990,0
pak,1991,0
pak,1992,0
pak,1993,0
pak,1994,0
pak,1995,0
pak,1996,0
pak,1997,0
pak,1998,0
pak,1999,0
pak,2000,0
pak,2001,-57255100
pak,2002,-64697100
pak,2003,-19594200
pak,2004,-40503300
pak,2005,-20955654.59
pak,2006,19044765.13
pak,2007,-16613039.01
pak,2008,6933261.37
pak,2009,18470183.15
pak,2010,49007757.4
pak,2011,63370189.05
pak,2012,54740999.31
pak,2013,13892900
pak,2014,-28398699
pak,2015,78031234
pak,2016,59100127
pak,2017,183119448
pak,2018,11389136
pak,2019,-8062332
pak,2020,-40402175
pan,2020,-109968000
per,1970,0
per,1971,0
per,1972,0
per,1973,0
per,1974,0
per,1975,0
per,1976,0
per,1977,0
per,1978,0
per,1979,0
per,1980,0
per,1981,0
per,1982,0
per,1983,0
per,1984,0
per,1985,0
per,1986,0
per,1987,0
per,1988,0
per,1989,0
per,1990,0
per,1991,0
per,1992,0
per,1993,0
per,1994,0
per,1995,0
per,1996,0
per,1997,0
per,1998,0
per,1999,0
per,2000,0
per,2001,18126100
per,2002,16307900
per,2003,49327400
per,2004,-12962500
per,2005,-61829491.56
per,2006,73816514.18
per,2007,-9281978.98
per,2008,148108030.59
per,2009,135599824.04
per,2010,11488808.11
per,2011,-44446577.19
per,2012,56826493.14
per,2013,40260618
per,2014,11840115
per,2015,-165092939
per,2016,2087816
per,2017,-42551422
per,2018,-210194488
per,2019,-45081650
per,2020,-26991649
phl,1970,0
phl,1971,0
phl,1972,0
phl,1973,0
phl,1974,0
phl,1975,0
phl,1976,0
phl,1977,0
phl,1978,0
phl,1979,0
phl,1980,0
phl,1981,0
phl,1982,0
phl,1983,0
phl,1984,0
phl,1985,0
phl,1986,0
phl,1987,0
phl,1988,0
phl,1989,0
phl,1990,0
phl,1991,0
phl,1992,0
phl,1993,0
phl,1994,0
phl,1995,0
phl,1996,0
phl,1997,0
phl,1998,0
phl,1999,0
phl,2000,0
phl,2001,12282800
phl,2002,18597600
phl,2003,-4024100
phl,2004,-7381400
phl,2005,37816854.02
phl,2006,-70789877.1
phl,2007,-17595080.68
phl,2008,315317639.38
phl,2009,102005772.68
phl,2010,7420698.82
phl,2011,56086892.25
phl,2012,-61454232.25
phl,2013,-235546775
phl,2014,-34380643
phl,2015,9372306
phl,2016,-93498557
phl,2017,-55675105
phl,2018,225840339
phl,2019,123885693
phl,2020,-39408874
png,1970,0
png,1971,0
png,1972,0
png,1973,0
png,1974,0
png,1975,0
png,1976,0
png,1977,0
png,1978,0
png,1979,0
png,1980,0
png,1981,0
png,1982,0
png,1983,0
png,1984,0
png,1985,0
png,1986,0
png,1987,0
png,1988,0
png,1989,0
png,1990,0
png,1991,0
png,1992,0
png,1993,0
png,1994,0
png,1995,0
png,1996,0
png,1997,0
png,1998,0
png,1999,0
png,2000,0
png,2001,0
png,2002,0
png,2003,0
png,2004,0
png,2005,0
png,2006,0
png,2007,819812
png,2008,40000000
png,2009,40000000
png,2010,-6666400
png,2011,-15061068.78
png,2012,10454127.52
png,2013,-27803579
png,2014,-25636625
png,2015,-23030460
png,2016,16530055
png,2017,1428572
png,2018,1428572
png,2019,1428572
png,2020,-34285716
pol,2013,-6619876
pry,1970,0
pry,1971,0
pry,1972,0
pry,1973,0
pry,1974,0
pry,1975,0
pry,1976,0
pry,1977,0
pry,1978,0
pry,1979,0
pry,1980,0
pry,1981,0
pry,1982,0
pry,1983,0
pry,1984,0
pry,1985,0
pry,1986,0
pry,1987,0
pry,1988,0
pry,1989,0
pry,1990,0
pry,1991,0
pry,1992,0
pry,1993,0
pry,1994,0
pry,1995,0
pry,1996,0
pry,1997,0
pry,1998,0
pry,1999,0
pry,2000,0
pry,2001,-135000
pry,2002,0
pry,2003,0
pry,2004,0
pry,2005,5000000
pry,2006,10000000
pry,2007,-15000000
pry,2008,60000000
pry,2009,8000000
pry,2010,26950000
pry,2011,83244444.45
pry,2012,13521547.56
pry,2013,-12102849
pry,2014,13869909
pry,2015,53960948
pry,2016,-25336100
pry,2017,-38669539
pry,2018,-40034747
pry,2019,70127776
pry,2020,-39000000
pse,2013,-750000
rou,1972,0
rou,1973,0
rou,1974,0
rou,1975,0
rou,1976,0
rou,1977,0
rou,1978,0
rou,1979,0
rou,1980,0
rou,1981,0
rou,1982,0
rou,1983,0
rou,1984,0
rou,1985,0
rou,1986,0
rou,1987,0
rou,1988,0
rou,1989,0
rou,1990,0
rou,1991,0
rou,1992,0
rou,1993,0
rou,1994,0
rou,1995,0
rou,1996,0
rou,1997,0
rou,1998,0
rou,1999,0
rou,2000,0
rou,2001,-5423600
rou,2002,-9039700
rou,2003,59627000
rou,2004,44536600
rou,2005,168625483.78
rou,2006,-5821869.06
rou,2007,-36057650.21
rou,2008,14992385.92
rou,2009,10121482.08
rou,2010,38283776.18
rou,2011,150161658.87
rou,2012,-24436947.44
rou,2013,-64699805
rou,2014,2727559
rou,2015,-59376683
rou,2016,-82940879
rou,2017,161786714
rou,2018,-19672125
rou,2019,108690737
rou,2020,2357169
rus,1992,0
rus,1993,0
rus,1994,0
rus,1995,0
rus,1996,0
rus,1997,0
rus,1998,0
rus,1999,0
rus,2000,0
rus,2001,2104200
rus,2002,87964300
rus,2003,321253000
rus,2004,204416000
rus,2005,258000883.11
rus,2006,367481265.98
rus,2007,2384095.5
rus,2008,-105610011.97
rus,2009,-184367207.89
rus,2010,-63758776.14
rus,2011,-140666075.09
rus,2012,-183451468.6
rus,2013,-142507330
rus,2014,-8123162
rus,2015,-59015040
rus,2016,-168365976
rus,2017,-134093904
rus,2018,-71900522
rus,2019,-53812868
rus,2020,-12920861
rwa,1970,0
rwa,1971,0
rwa,1972,0
rwa,1973,0
rwa,1974,0
rwa,1975,0
rwa,1976,0
rwa,1977,0
rwa,1978,0
rwa,1979,0
rwa,1980,0
rwa,1981,0
rwa,1982,0
rwa,1983,0
rwa,1984,0
rwa,1985,0
rwa,1986,0
rwa,1987,0
rwa,1988,0
rwa,1989,0
rwa,1990,0
rwa,1991,0
rwa,1992,0
rwa,1993,0
rwa,1994,0
rwa,1995,0
rwa,1996,0
rwa,1997,0
rwa,1998,0
rwa,1999,0
rwa,2000,0
rwa,2001,0
rwa,2002,0
rwa,2003,0
rwa,2004,0
rwa,2005,0
rwa,2006,0
rwa,2007,0
rwa,2008,2000000
rwa,2009,3983334
rwa,2010,10063819.08
rwa,2011,4534375.12
rwa,2012,7405233.33
rwa,2013,-5455534
