un_sdg_region,time,income_mountain_50bracket_shape_for_log
un_australia_and_new_zealand,1871,"0,0,1,39,83,131,184,250,341,466,655,947,1449,2360,4054,7468,14079,26782,50150,91093,153140,228186,287743,305847,279258,221973,159684,107157,67970,41284,24339,14049,8044,4617,2671,1578,950,588,371,240,157,105,69,46,29,18,10,6,4,1"
un_australia_and_new_zealand,1872,"0,1,1,17,50,82,118,163,222,306,435,642,1003,1681,2968,5634,11030,21790,42049,78317,135573,210171,279991,315560,303887,251746,185634,126122,80442,48703,28535,16366,9296,5287,3030,1764,1051,644,404,259,170,112,74,49,32,20,12,7,4,2"
un_australia_and_new_zealand,1873,"0,1,2,13,51,86,126,174,234,317,440,640,975,1598,2755,5065,9780,19151,36835,68641,120493,191304,266753,317071,321283,278266,212022,147080,94726,57296,33323,18953,10651,5972,3364,1920,1124,675,419,266,173,114,74,50,31,20,12,7,4,2"
un_australia_and_new_zealand,1874,"1,2,4,10,35,63,95,131,173,233,329,499,803,1402,2546,4878,9678,19223,37132,68909,120567,191638,269367,325117,332427,289680,221862,154362,99694,60158,34803,19699,11047,6178,3476,1975,1151,687,424,268,173,113,75,49,32,20,12,7,4,3"
un_australia_and_new_zealand,1875,"1,2,4,11,32,63,96,133,174,228,309,448,694,1156,2024,3759,7473,15167,30436,59360,110093,183479,266481,330579,345629,307752,241478,171253,112174,68941,40456,23180,13185,7503,4297,2472,1440,853,514,317,199,128,82,54,34,22,13,8,5,3"
un_australia_and_new_zealand,1876,"1,2,6,15,39,73,109,148,190,242,325,474,743,1254,2220,4183,8348,16899,33555,64429,117402,195024,282747,347455,357775,312867,240996,167794,108374,65970,38465,21907,12404,7035,4020,2317,1359,814,499,312,199,129,84,56,36,22,14,8,5,3"
un_australia_and_new_zealand,1877,"1,3,7,16,42,75,111,147,185,228,299,432,680,1165,2084,3938,7906,16073,32037,61376,111097,185767,279094,358569,379315,336499,258896,180203,113663,67825,39044,21891,12131,6712,3750,2131,1242,751,469,303,201,136,94,66,46,32,22,15,10,7"
un_australia_and_new_zealand,1878,"1,3,7,16,32,53,78,106,128,150,182,254,405,705,1281,2455,5100,10895,23246,48074,94117,170153,271332,363622,398459,363853,286446,204266,130282,77530,44927,25555,14361,7997,4459,2487,1403,810,481,297,190,127,88,62,44,32,23,17,11,8"
un_australia_and_new_zealand,1879,"1,3,9,20,38,62,92,121,146,167,202,278,440,757,1363,2650,5601,12165,26188,54738,108285,194269,297878,382197,405608,361910,281008,198727,125158,73589,42289,23970,13517,7591,4275,2412,1376,801,480,298,192,128,89,63,45,32,23,17,11,8"
un_australia_and_new_zealand,1880,"1,4,9,21,41,68,102,136,166,193,233,321,496,816,1380,2498,5046,10851,23631,50339,102228,189430,299206,390129,420983,381066,298317,212726,135064,80200,46414,26138,14484,7965,4382,2427,1365,785,465,284,180,118,81,56,40,29,21,15,10,7"
un_australia_and_new_zealand,1881,"1,4,10,22,47,86,131,179,223,265,322,434,645,1013,1622,2740,5181,10632,22550,47169,95443,179140,289432,386235,432370,402353,323886,234381,150986,90749,52689,29489,16089,8670,4652,2539,1408,801,470,279,171,105,68,44,29,19,12,8,4,3"
un_australia_and_new_zealand,1882,"2,6,14,31,67,117,172,229,278,330,408,564,845,1317,2091,3570,6799,13857,28601,58097,114552,210343,329635,423891,451948,399878,310506,215398,133813,79035,45176,24883,13424,7159,3845,2099,1174,679,402,244,152,97,63,42,28,18,12,7,4,3"
un_australia_and_new_zealand,1883,"2,5,12,29,59,113,172,236,295,350,423,559,818,1262,1995,3339,6237,12560,25976,52949,104002,189857,303227,406138,460621,430881,346578,251386,161632,97149,56065,30906,16545,8752,4606,2476,1351,758,438,257,155,96,60,39,25,16,10,6,4,3"
un_australia_and_new_zealand,1884,"2,6,15,34,70,125,187,249,301,343,396,506,725,1097,1707,2876,5562,11751,25403,53670,108318,201079,322583,434309,490145,448016,353384,250357,158530,93594,52749,28650,15315,8155,4368,2381,1323,754,441,262,161,100,64,41,27,17,10,6,3,2"
un_australia_and_new_zealand,1885,"2,6,16,36,74,131,196,262,316,355,397,488,684,1025,1591,2691,5255,11220,24477,52078,105494,196023,318343,440640,511737,475897,378297,268112,168442,98384,54877,29616,15832,8489,4600,2543,1429,831,493,301,189,122,80,54,36,24,16,10,6,4"
un_australia_and_new_zealand,1886,"3,7,19,42,85,146,217,287,341,377,417,509,711,1058,1624,2732,5337,11431,24972,53189,108026,202166,331620,464644,539119,496940,390077,271244,167900,96912,53352,28460,15125,8096,4413,2459,1403,830,502,314,201,133,90,61,41,28,19,12,8,5"
un_australia_and_new_zealand,1887,"2,6,17,39,78,140,214,291,354,394,427,500,678,1003,1536,2541,4839,10216,22287,47844,98362,185280,308821,446448,546180,533754,433313,311004,195459,112810,61828,32556,16969,8982,4846,2693,1536,907,552,348,225,149,101,69,48,33,22,15,9,6"
un_australia_and_new_zealand,1888,"3,8,20,46,100,174,263,352,422,469,512,602,811,1180,1770,2877,5389,11164,24093,51475,105711,198798,329571,472788,571539,548985,440073,311702,192943,110010,59615,30940,15945,8376,4495,2491,1418,835,509,321,208,139,94,65,45,31,21,14,9,6"
un_australia_and_new_zealand,1889,"2,7,18,44,93,170,263,359,439,491,530,605,793,1140,1691,2677,4871,9944,21372,45910,95703,183289,311073,458708,577487,580001,476887,347125,220637,127140,69387,36180,18521,9624,5092,2776,1556,902,542,338,216,143,96,66,45,31,21,15,10,6"
un_australia_and_new_zealand,1890,"3,9,24,55,120,208,312,418,501,556,606,714,954,1367,1988,3087,5532,11149,23826,51032,106052,203395,344825,504730,615081,587283,468768,330872,203767,115292,62176,32166,16544,8652,4616,2547,1455,864,532,339,221,149,101,69,48,33,23,15,9,6"
un_australia_and_new_zealand,1891,"3,9,23,53,114,204,313,426,519,580,628,724,952,1359,1983,3065,5430,10837,22953,48950,101753,194724,330716,489868,616709,610954,496602,359035,226668,129839,70512,36537,18619,9636,5080,2765,1555,905,547,343,221,146,97,66,45,31,21,14,9,6"
un_australia_and_new_zealand,1892,"6,16,39,85,171,278,399,510,587,638,701,858,1172,1648,2323,3571,6440,13238,28900,63022,131172,248849,412671,586728,661265,584679,447763,300124,178576,99009,52586,26987,13833,7101,3722,2019,1143,678,416,264,173,116,80,55,39,26,18,12,8,5"
un_australia_and_new_zealand,1893,"8,22,51,111,208,328,457,566,639,687,770,976,1345,1873,2628,4094,7481,15478,33728,73351,151960,284878,461546,632919,671593,570481,423859,274059,159459,87127,45623,23252,11896,6122,3248,1782,1024,608,372,234,152,100,68,46,31,21,14,9,6,3"
un_australia_and_new_zealand,1894,"8,23,52,113,214,339,474,592,668,718,799,1005,1386,1935,2722,4258,7807,16128,34961,75604,155477,288608,464145,638441,683130,581932,434334,282944,165116,90125,47082,23885,12166,6222,3279,1795,1029,615,379,241,158,105,72,49,34,23,15,9,7,4"
un_australia_and_new_zealand,1895,"12,31,67,139,244,375,508,613,675,717,816,1065,1479,2034,2835,4506,8510,18163,40091,87221,179168,329036,521030,685467,686154,564273,407545,255601,145601,78407,40481,20545,10504,5452,2934,1638,960,581,363,233,154,103,71,49,33,22,15,10,6,4"
un_australia_and_new_zealand,1896,"10,27,62,132,245,386,536,661,741,790,879,1110,1521,2087,2855,4306,7658,15661,34206,74901,156096,294828,483648,672229,715002,607485,452612,292467,169476,92001,47794,24196,12333,6332,3358,1842,1060,629,386,242,158,104,70,48,32,22,15,9,6,3"
un_australia_and_new_zealand,1897,"14,37,79,161,279,425,573,685,747,790,898,1174,1617,2180,2956,4555,8430,18005,40271,88740,183895,339784,544618,718424,713435,586562,423169,263916,149483,80095,41150,20855,10642,5523,2969,1654,968,585,365,234,154,104,71,49,33,23,15,10,6,4"
un_australia_and_new_zealand,1898,"9,26,60,127,244,393,558,704,798,850,925,1133,1541,2117,2861,4178,7206,14466,31469,69119,144996,277823,465514,671131,750375,654111,497848,329582,193309,105347,54770,27545,13960,7112,3724,2023,1151,684,421,269,176,120,82,57,40,27,19,12,8,5"
un_australia_and_new_zealand,1899,"10,28,66,138,262,420,593,743,838,889,967,1191,1621,2217,2977,4324,7426,14886,32413,71301,149446,286086,479725,691542,766099,662949,502669,330745,192976,104681,54163,27156,13748,6998,3669,1996,1137,677,417,266,175,118,82,57,40,27,19,12,8,5"
