STAFF_NAME;College Name;Department;TEACH_TIME;TOTAL_VALID_TIME;PU 2012;PU 2013;PU 2014
anonymous teacher 51874784;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;70;70;;;
anonymous teacher 51878779;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";1054.1;1054.1;;;
anonymous teacher 51894709;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;95.25;95.25;;;
anonymous teacher 51897853;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;2069.79;2069.79;;;
anonymous teacher 51901969;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";862.5;862.5;;;
anonymous teacher 51911853;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;595.69;730.69;52.38;19.8;90
anonymous teacher 51920834;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1422.73;1890.73;;;
anonymous teacher 51936139;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";259.5;1452.5;20;116;302.4
anonymous teacher 51949187;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";40;40;;;
anonymous teacher 52033220;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;95.75;311.75;320;248;387
anonymous teacher 52110109;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;1514.88;1514.88;;;8
anonymous teacher 52110485;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";984;984;;;
anonymous teacher 52122099;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1542.5;1542.5;;12;
anonymous teacher 5214047;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;774;774;;;
anonymous teacher 52146018;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;24.37;24.37;;;
anonymous teacher 52167038;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 52182507;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1650.73;1650.73;60;60;
anonymous teacher 52194819;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;996.24;996.24;;;
anonymous teacher 52252589;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;414;414;;;
anonymous teacher 52265910;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;30;30;;;
anonymous teacher 52333384;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;168.12;168.12;;;
anonymous teacher 5239822;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 52407329;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;538.12;582.12;;;
anonymous teacher 52419786;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;100.12;100.12;;;
anonymous teacher 52426144;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1291.5;1291.5;;;
anonymous teacher 52440613;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;201.45;201.45;;;
anonymous teacher 52445705;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 52499817;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;618.79;808.79;;;
anonymous teacher 52520290;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1009.5;1009.5;;;
anonymous teacher 52540330;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;175.76;1012.76;90;51.95;87.95
anonymous teacher 52575458;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;541.34;631.34;;;30
anonymous teacher 5258929;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;603.19;761.19;30;170.8;47.8
anonymous teacher 52594647;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3748.12;3748.12;;;
anonymous teacher 52604927;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";456.5;898.5;;;
anonymous teacher 52654569;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;578.25;578.25;;;
anonymous teacher 52661624;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;204;204;;;
anonymous teacher 52679577;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 52703016;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 52730431;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";476.25;476.25;;;
anonymous teacher 52770256;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;48;48;;;
anonymous teacher 52791547;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";238.5;238.5;;;
anonymous teacher 52815511;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;644;734;;19.8;
anonymous teacher 5284484;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;297;297;;;
anonymous teacher 52850198;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3236.62;3236.62;;;
anonymous teacher 52950987;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;49.08;49.08;;;
anonymous teacher 52957822;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;956.62;956.62;;;
anonymous teacher 53009078;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";693;693;;;
anonymous teacher 53088837;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 53123420;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;160.25;364.25;60;60;
anonymous teacher 53151966;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;632.75;632.75;;;
anonymous teacher 53182822;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1145.87;1145.87;19.8;;
anonymous teacher 53200332;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";522;522;;;
anonymous teacher 53202127;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;461.94;506.94;32;16;24
anonymous teacher 53227912;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;645;645;;;
anonymous teacher 53231884;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";121.37;121.37;;;
anonymous teacher 53235920;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1890;1890;;;
anonymous teacher 53253153;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;398.25;668.25;68.4;16.4;84
anonymous teacher 53271003;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1625;1895;25.8;17.4;58.2
anonymous teacher 53331767;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;465;465;;;
anonymous teacher 5334372;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;43;43;;;
anonymous teacher 53344125;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;76.5;76.5;;;
anonymous teacher 53360013;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;913.05;935.55;4;;
anonymous teacher 53433735;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;102.95;102.95;;;
anonymous teacher 53471405;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 53499465;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1335;1335;;;
anonymous teacher 53508055;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;558;558;;;
anonymous teacher 53533999;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;657.5;657.5;;;
anonymous teacher 53645416;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;44.62;44.62;;;
anonymous teacher 53672865;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 53675976;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;75.5;961.5;15;30;334
anonymous teacher 53677239;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;477.12;477.12;;;
anonymous teacher 53687500;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1115.25;2071.25;;33.68;85.6
anonymous teacher 53705631;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";49.5;49.5;;;
anonymous teacher 53714615;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1011;1011;;;
anonymous teacher 5373847;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1298.5;1878.5;;;37.2
anonymous teacher 53753534;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;642.37;642.37;;;
anonymous teacher 53798168;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;857.66;902.66;;6;4
anonymous teacher 53803012;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;544.75;792.75;;;147
anonymous teacher 53817412;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";850;1085;9.6;137.4;131.2
anonymous teacher 53854473;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;1713;1713;;;
anonymous teacher 53929454;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";39.75;39.75;;;
anonymous teacher 53931375;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;156;156;;;
anonymous teacher 53954093;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3354.75;3354.75;;;
anonymous teacher 53978601;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";297.68;522.68;;60;75
anonymous teacher 53991168;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;1059.37;1149.37;8;8;40
anonymous teacher 54013320;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;204;204;;;
anonymous teacher 54019065;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;561.5;561.5;;;
anonymous teacher 54079089;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";2643.87;2643.87;;;
anonymous teacher 54086610;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;1209.18;1374.18;;;30
anonymous teacher 541034;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;223;223;;;
anonymous teacher 54171355;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;654.62;1558.62;8;;128
anonymous teacher 5425968;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";240.16;240.16;;;
anonymous teacher 54272851;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;90;90;;;
anonymous teacher 5428879;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;49.08;49.08;;;
anonymous teacher 54316203;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";442.5;442.5;;;
anonymous teacher 54366934;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;397.5;397.5;;180;60
anonymous teacher 5438254;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;2574;2574;;;
anonymous teacher 54392319;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;910.45;1151.45;;;136
anonymous teacher 54448819;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;863.62;1767.62;464.6;422.8;417.4
anonymous teacher 54483213;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 54493145;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;17;17;;;
anonymous teacher 54556583;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;393.25;393.25;;;
anonymous teacher 54594240;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;100.12;100.12;;;
anonymous teacher 54620452;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;104;104;;;
anonymous teacher 54664939;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;46.5;46.5;;;
anonymous teacher 54708479;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;647;647;;;
anonymous teacher 54713211;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;130.82;130.82;;;
anonymous teacher 54795248;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;832.87;832.87;;;
anonymous teacher 54848924;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;282.5;282.5;;;
anonymous teacher 54861680;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";111.37;111.37;;;
anonymous teacher 5488202;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";0;248;120;75;180
anonymous teacher 54899131;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";870.5;870.5;;;
anonymous teacher 54906250;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;0;40;520;300;660
anonymous teacher 54913593;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;185.58;185.58;;;
anonymous teacher 55035244;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;397.5;397.5;;;
anonymous teacher 55039400;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";172.5;172.5;;;
anonymous teacher 5511846;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;81.42;81.42;;;
anonymous teacher 55138895;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;1354.31;1534.31;;24;24
anonymous teacher 55142994;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1156.49;1171.49;;;60
anonymous teacher 55215064;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;135.62;135.62;;;
anonymous teacher 55233928;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;8.88;8.88;;;
anonymous teacher 55271772;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;786.87;786.87;;;
anonymous teacher 55294366;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;63.75;63.75;;;
anonymous teacher 55316574;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";186;186;;;
anonymous teacher 55364370;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;203.25;203.25;;;
anonymous teacher 55372490;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1941.75;1975.75;60;;68
anonymous teacher 55406627;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;421.05;421.05;;;
anonymous teacher 5542409;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";664.11;874.11;;60;128
anonymous teacher 5547780;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;746.39;1092.39;;;0
anonymous teacher 55487888;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;436.02;639.02;;;163.68
anonymous teacher 55491334;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;35;35;60;;24.6
anonymous teacher 55513001;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1540.25;1540.25;;;
anonymous teacher 55579416;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";445;445;;;
anonymous teacher 55651618;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 55674557;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";235.75;235.75;;;
anonymous teacher 55698713;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;70.56;70.56;;;
anonymous teacher 55703806;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;1474.5;1474.5;;;
anonymous teacher 55737880;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;629.85;833.85;;;
anonymous teacher 55742352;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;738.76;738.76;;14.4;16
anonymous teacher 55766767;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;522;522;;;
anonymous teacher 55832933;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";908.12;976.12;;;
anonymous teacher 55876239;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";966.34;1470.84;144.6;241.2;259.8
anonymous teacher 55888788;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;64.5;64.5;;;
anonymous teacher 55975685;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;214.12;214.12;;;
anonymous teacher 56009680;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;170.75;170.75;;;
anonymous teacher 56026021;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;7.4;7.4;;;
anonymous teacher 56034374;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;330.87;330.87;;;
anonymous teacher 56051828;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";106.5;106.5;;;
anonymous teacher 56086331;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;120;120;;;
anonymous teacher 56148336;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1711.5;1711.5;;;
anonymous teacher 5615813;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 56159612;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3268.5;3268.5;;;
anonymous teacher 56165375;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;135;135;;;
anonymous teacher 56209099;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;155;155;30;;19.8
anonymous teacher 56227578;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;60;60;;;
anonymous teacher 56282810;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";643.24;643.24;;;
anonymous teacher 56293905;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;66;66;;;
anonymous teacher 56309225;COLLEGE OF HEALTH SCIENCES;SCHOOL OF LAB MED & MEDICAL SC;1254.98;1314.98;;;
anonymous teacher 56324086;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;546.09;546.09;;;
anonymous teacher 56385849;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;889.25;1062.25;;;
anonymous teacher 56449910;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;964.5;964.5;;;12.6
anonymous teacher 56477502;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";2122.5;2122.5;;;
anonymous teacher 56479897;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";433.48;1135.48;120;60;16
anonymous teacher 56486792;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1010.25;1168.25;13.2;104.4;18
anonymous teacher 56521717;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;128.82;128.82;;;
anonymous teacher 56534327;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;487.87;487.87;;;
anonymous teacher 56534720;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;90;90;;;
anonymous teacher 56611016;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";412.87;930.37;48;30;35.8
anonymous teacher 5664114;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 56690655;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";201;201;;;
anonymous teacher 56753118;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";113.88;113.88;;;
anonymous teacher 5675626;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;569.5;569.5;;;
anonymous teacher 56807710;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";192.62;192.62;;;
anonymous teacher 56826192;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;1868.21;1868.21;;;
anonymous teacher 56843983;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;148.75;148.75;;;
anonymous teacher 56896465;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 5692040;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;173.28;173.28;;;
anonymous teacher 56938119;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;591.71;691.71;154;;37.5
anonymous teacher 56959498;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;54.69;54.69;;;
anonymous teacher 56984127;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;401.87;671.87;;60;31
anonymous teacher 56991889;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;109.56;109.56;;;
anonymous teacher 56994683;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;9;9;;;
anonymous teacher 57004622;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;653.47;1051.47;;;
anonymous teacher 57033195;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;315;315;;;
anonymous teacher 57053373;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;609.37;609.37;;;
anonymous teacher 57127401;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";608.5;789.5;24;16;
anonymous teacher 57173609;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";974.82;974.82;;;
anonymous teacher 57190576;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;794.24;794.24;;;
anonymous teacher 57203583;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";34;34;;;
anonymous teacher 57276159;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";113.12;530.12;263.2;261.2;408.6
anonymous teacher 57278041;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;0;90;6.6;;30.6
anonymous teacher 57369798;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;292.12;292.12;;;
anonymous teacher 57370056;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1105.5;1105.5;;;
anonymous teacher 57372628;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";498.5;498.5;;;
anonymous teacher 57391385;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;95.25;95.25;;;
anonymous teacher 57413063;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;476.16;596.16;19.8;;88.2
anonymous teacher 5742301;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;439;439;;;
anonymous teacher 57433554;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;233.25;233.25;;;
anonymous teacher 57444094;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;652.07;847.07;60;180;180
anonymous teacher 57444639;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";994.54;1062.04;;;1.32
anonymous teacher 57457913;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";638;638;8;;
anonymous teacher 57471319;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;121.5;121.5;;;
anonymous teacher 57487399;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;140;230;;54;8
anonymous teacher 57548300;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";649.11;671.61;160;;
anonymous teacher 57575230;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;130.82;130.82;;;
