country,time,cliberties_idea
hti,2010,63.91543
hti,2011,61.67351
hti,2012,60.72334
hti,2013,60.58644
hti,2014,60.6004
hti,2015,60.80447
hti,2016,63.62218
hti,2017,59.51743
hti,2018,59.85813
hti,2019,59.98101
hun,1975,26.85357
hun,1976,26.67388
hun,1977,27.00057
hun,1978,27.01514
hun,1979,27.02285
hun,1980,29.34067
hun,1981,30.77414
hun,1982,33.46384
hun,1983,33.14543
hun,1984,33.4002
hun,1985,35.33045
hun,1986,35.74442
hun,1987,36.10473
hun,1988,40.12572
hun,1989,51.68607
hun,1990,88.15012
hun,1991,87.79053
hun,1992,86.5475
hun,1993,85.35584
hun,1994,86.6846
hun,1995,86.75781
hun,1996,87.1555
hun,1997,86.82032
hun,1998,86.25862
hun,1999,84.37706
hun,2000,84.64991
hun,2001,84.71874
hun,2002,85.07567
hun,2003,83.79237
hun,2004,83.68305
hun,2005,85.22086
hun,2006,77.74652
hun,2007,80.99827
hun,2008,79.72726
hun,2009,79.82315
hun,2010,75.00358
hun,2011,69.83255
hun,2012,69.53245
hun,2013,65.86329
hun,2014,64.91001
hun,2015,63.75064
hun,2016,63.68281
hun,2017,61.55101
hun,2018,58.97694
hun,2019,59.52675
idn,1975,31.97378
idn,1976,31.74055
idn,1977,31.79568
idn,1978,31.9744
idn,1979,31.93679
idn,1980,31.28208
idn,1981,31.83746
idn,1982,31.78975
idn,1983,32.12919
idn,1984,31.81334
idn,1985,31.33987
idn,1986,31.56527
idn,1987,31.17167
idn,1988,31.77727
idn,1989,31.64839
idn,1990,31.75322
idn,1991,31.33248
idn,1992,30.4056
idn,1993,30.60156
idn,1994,31.10712
idn,1995,31.08867
idn,1996,30.77559
idn,1997,30.64667
idn,1998,43.05216
idn,1999,59.09353
idn,2000,61.52373
idn,2001,61.25442
idn,2002,61.85439
idn,2003,61.35881
idn,2004,60.90535
idn,2005,60.93869
idn,2006,61.46162
idn,2007,61.50886
idn,2008,61.0964
idn,2009,60.98927
idn,2010,61.73114
idn,2011,61.17255
idn,2012,61.31723
idn,2013,59.5715
idn,2014,59.79325
idn,2015,61.11668
idn,2016,61.25452
idn,2017,60.71072
idn,2018,58.08405
idn,2019,56.66624
ind,1975,44.87404
ind,1976,44.10783
ind,1977,53.11708
ind,1978,62.14734
ind,1979,61.76624
ind,1980,61.03013
ind,1981,62.04175
ind,1982,62.00971
ind,1983,62.17502
ind,1984,61.37452
ind,1985,62.26971
ind,1986,62.8683
ind,1987,62.90021
ind,1988,61.9233
ind,1989,61.82558
ind,1990,62.45714
ind,1991,62.39656
ind,1992,63.02373
ind,1993,62.30631
ind,1994,64.1565
ind,1995,62.82543
ind,1996,64.62417
ind,1997,64.77515
ind,1998,63.65649
ind,1999,61.81613
ind,2000,61.0423
ind,2001,60.89769
ind,2002,61.13424
ind,2003,61.28896
ind,2004,61.33418
ind,2005,60.8078
ind,2006,61.03496
ind,2007,61.10758
ind,2008,60.63319
ind,2009,61.29596
ind,2010,61.06674
