country,time,ajustice_idea
chn,1997,48.89871
chn,1998,48.89464
chn,1999,48.91115
chn,2000,49.00735
chn,2001,48.89333
chn,2002,50.68397
chn,2003,49.42833
chn,2004,49.66122
chn,2005,49.7748
chn,2006,49.61054
chn,2007,49.75501
chn,2008,49.75153
chn,2009,49.78382
chn,2010,49.73063
chn,2011,50.18219
chn,2012,50.33493
chn,2013,50.30062
chn,2014,50.29153
chn,2015,48.56102
chn,2016,48.53949
chn,2017,50.15093
chn,2018,50.04533
chn,2019,50.03011
civ,1975,45.35966
civ,1976,45.45267
civ,1977,45.48133
civ,1978,45.65963
civ,1979,45.51137
civ,1980,45.56438
civ,1981,45.45221
civ,1982,45.5029
civ,1983,45.56448
civ,1984,45.48424
civ,1985,45.5389
civ,1986,45.39066
civ,1987,45.53461
civ,1988,45.50283
civ,1989,45.51506
civ,1990,48.78931
civ,1991,49.91033
civ,1992,49.77275
civ,1993,49.78616
civ,1994,49.65579
civ,1995,49.78616
civ,1996,49.78019
civ,1997,49.76026
civ,1998,49.88191
civ,1999,49.64939
civ,2000,52.14349
civ,2001,52.48655
civ,2002,50.98213
civ,2003,50.86007
civ,2004,50.83589
civ,2005,50.93546
civ,2006,52.37133
civ,2007,52.39221
civ,2008,52.13418
civ,2009,50.42221
civ,2010,48.81883
civ,2011,48.84453
civ,2012,50.02756
civ,2013,61.35864
civ,2014,61.40043
civ,2015,61.49093
civ,2016,61.29614
civ,2017,57.16648
civ,2018,52.89613
civ,2019,49.60743
cmr,1975,41.94447
cmr,1976,41.33775
cmr,1977,41.76175
cmr,1978,41.52331
cmr,1979,41.68613
cmr,1980,44.05411
cmr,1981,44.28523
cmr,1982,50.15073
cmr,1983,50.19326
cmr,1984,49.99291
cmr,1985,49.94065
cmr,1986,50.091
cmr,1987,50.29613
cmr,1988,50.14496
cmr,1989,49.93946
cmr,1990,49.86721
cmr,1991,49.65981
cmr,1992,50.99356
cmr,1993,56.90709
cmr,1994,56.60007
cmr,1995,57.16515
cmr,1996,56.8934
cmr,1997,57.23718
cmr,1998,56.89379
cmr,1999,55.48004
cmr,2000,56.7347
cmr,2001,57.04042
cmr,2002,56.65714
cmr,2003,56.9332
cmr,2004,57.13919
cmr,2005,49.21006
cmr,2006,47.3888
cmr,2007,47.64645
cmr,2008,47.52385
cmr,2009,47.78387
cmr,2010,47.58484
cmr,2011,48.06608
cmr,2012,47.87153
cmr,2013,41.85727
cmr,2014,41.76493
cmr,2015,40.68494
cmr,2016,38.92245
cmr,2017,36.21838
cmr,2018,36.5976
cmr,2019,42.7472
cod,1975,38.22292
cod,1976,38.29378
cod,1977,38.10524
cod,1978,38.2865
cod,1979,38.14101
cod,1980,38.40463
cod,1981,38.45578
cod,1982,38.21481
cod,1983,38.30734
cod,1984,38.34621
cod,1985,38.30234
cod,1986,38.39416
cod,1987,38.1983
cod,1988,38.28879
cod,1989,38.16963
cod,1990,38.21414
cod,1991,38.32076
cod,1992,38.25261
cod,1993,38.1141
cod,1994,38.23889
cod,1995,38.26798
cod,1996,38.25389
cod,1997,38.28576
cod,1998,37.71077
cod,1999,38.81122
cod,2000,33.96144
cod,2001,33.80588
cod,2002,33.86985
cod,2003,34.13274
cod,2004,34.19854
cod,2005,34.14888
cod,2006,34.83534
cod,2007,34.71543
cod,2008,34.65023
cod,2009,34.82102
cod,2010,34.77761
cod,2011,34.71371
cod,2012,34.61494
cod,2013,35.46085
cod,2014,35.39414
cod,2015,35.30254
cod,2016,35.29395
cod,2017,35.47888
cod,2018,35.42254
