country,time,emigrant_n
tgo,2020,545409
tha,1990,306924
tha,1995,411878
tha,2000,531028
tha,2005,631678
tha,2010,769257
tha,2015,921690
tha,2020,1086985
tjk,1990,537699
tjk,1995,555426
tjk,2000,541183
tjk,2005,586235
tjk,2010,584647
tjk,2015,585060
tjk,2020,586851
tkm,1990,260005
tkm,1995,243523
tkm,2000,224398
tkm,2005,231939
tkm,2010,234635
tkm,2015,238531
tkm,2020,242554
tls,1990,11261
tls,1995,79050
tls,2000,148339
tls,2005,94961
tls,2010,35037
tls,2015,37325
tls,2020,39588
ton,1990,32665
ton,1995,38208
ton,2000,46444
ton,2005,48337
ton,2010,51521
ton,2015,59203
ton,2020,74550
tto,1990,197440
tto,1995,251142
tto,2000,307795
tto,2005,322906
tto,2010,350517
tto,2015,368633
tto,2020,330519
tun,1990,465549
tun,1995,476933
tun,2000,486964
tun,2005,579009
tun,2010,615732
tun,2015,774376
tun,2020,902268
tur,1990,2512944
tur,1995,2771731
tur,2000,2847334
tur,2005,2577305
tur,2010,2708930
tur,2015,3073534
tur,2020,3411408
tuv,1990,2350
tuv,1995,2738
tuv,2000,2611
tuv,2005,2917
tuv,2010,3011
tuv,2015,3203
tuv,2020,3670
twn,1990,0
twn,1995,0
twn,2000,0
twn,2005,0
twn,2010,0
twn,2015,0
twn,2020,0
tza,1990,203043
tza,1995,229151
tza,2000,215460
tza,2005,234918
tza,2010,262172
tza,2015,294102
tza,2020,327863
uga,1990,311591
uga,1995,361969
uga,2000,517776
uga,2005,586602
uga,2010,731768
uga,2015,786229
uga,2020,781440
ukr,1990,5545517
ukr,1995,5606133
ukr,2000,5596518
ukr,2005,5566382
ukr,2010,5429876
ukr,2015,5797550
ukr,2020,6139144
ury,1990,237486
ury,1995,233993
ury,2000,235641
ury,2005,298986
ury,2010,338438
ury,2015,353225
ury,2020,367060
usa,1990,1726213
usa,1995,1827431
usa,2000,1979327
usa,2005,2296999
usa,2010,2670652
usa,2015,2717761
usa,2020,2996223
uzb,1990,1427980
uzb,1995,1515731
uzb,2000,1575965
uzb,2005,1730224
uzb,2010,1888942
uzb,2015,1976024
uzb,2020,2027823
vct,1990,37010
vct,1995,45669
vct,2000,53543
vct,2005,55611
vct,2010,55435
vct,2015,62292
vct,2020,55525
ven,1990,185492
ven,1995,241864
ven,2000,317753
ven,2005,437087
ven,2010,560528
ven,2015,709140
ven,2020,5415337
vnm,1990,1505588
vnm,1995,1842320
vnm,2000,2158532
vnm,2005,2376225
vnm,2010,2630742
vnm,2015,2909491
vnm,2020,3392025
vut,1990,4869
vut,1995,5611
vut,2000,6242
vut,2005,7264
vut,2010,7692
vut,2015,6751
vut,2020,7246
wsm,1990,74861
wsm,1995,81952
wsm,2000,94541
wsm,2005,99230
wsm,2010,104820
wsm,2015,116855
wsm,2020,135732
yem,1990,455492
yem,1995,486249
yem,2000,529396
yem,2005,628869
yem,2010,876383
yem,2015,1095240
yem,2020,1301166
zaf,1990,308120
zaf,1995,385988
zaf,2000,501600
zaf,2005,601803
zaf,2010,743807
zaf,2015,786554
zaf,2020,914901
zmb,1990,85201
zmb,1995,140895
zmb,2000,160201
zmb,2005,181499
zmb,2010,182766
zmb,2015,184371
zmb,2020,200700
zwe,1990,204363
zwe,1995,287995
zwe,2000,351985
zwe,2005,500773
zwe,2010,754643
zwe,2015,1167064
zwe,2020,1243314
