country,time,popcit_500k_1m
dnk,1950,0
dnk,1955,0
dnk,1960,0
dnk,1965,0
dnk,1970,0
dnk,1975,0
dnk,1980,0
dnk,1985,0
dnk,1990,0
dnk,1995,0
dnk,2000,0
dnk,2005,0
dnk,2010,0
dnk,2015,0
dnk,2020,0
dnk,2025,0
dnk,2030,0
dnk,2035,0
dom,1950,0
dom,1955,0
dom,1960,0
dom,1965,503160
dom,1970,686692
dom,1975,911425
dom,1980,0
dom,1985,0
dom,1990,0
dom,1995,0
dom,2000,0
dom,2005,553526
dom,2010,588862
dom,2015,626453
dom,2020,664575
dom,2025,707181
dom,2030,754193
dom,2035,794709
dza,1950,516450
dza,1955,622921
dza,1960,871636
dza,1965,0
dza,1970,0
dza,1975,0
dza,1980,536561
dza,1985,603626
dza,1990,657905
dza,1995,705268
dza,2000,748693
dza,2005,783334
dza,2010,819588
dza,2015,857521
dza,2020,1402579
dza,2025,2109103
dza,2030,1257654
dza,2035,1347965
ecu,1950,0
ecu,1955,0
ecu,1960,0
ecu,1965,583097
ecu,1970,1220411
ecu,1975,1518502
ecu,1980,780433
ecu,1985,936349
ecu,1990,0
ecu,1995,0
ecu,2000,0
ecu,2005,0
ecu,2010,0
ecu,2015,0
ecu,2020,0
ecu,2025,0
ecu,2030,500432
ecu,2035,540085
egy,1950,0
egy,1955,0
egy,1960,0
egy,1965,0
egy,1970,0
egy,1975,0
egy,1980,0
egy,1985,0
egy,1990,0
egy,1995,0
egy,2000,505810
egy,2005,556045
egy,2010,1145231
egy,2015,1766925
egy,2020,2949822
egy,2025,3210196
egy,2030,4088512
egy,2035,5121282
eri,1950,0
eri,1955,0
eri,1960,0
eri,1965,0
eri,1970,0
eri,1975,0
eri,1980,0
eri,1985,0
eri,1990,0
eri,1995,0
eri,2000,0
eri,2005,558318
eri,2010,669678
eri,2015,803250
eri,2020,962985
eri,2025,0
eri,2030,0
eri,2035,0
esp,1950,505979
esp,1955,507268
esp,1960,505266
esp,1965,567209
esp,1970,1187503
esp,1975,1814085
esp,1980,1974010
esp,1985,2559136
esp,1990,2629775
esp,1995,2607738
esp,2000,2571866
esp,2005,2622187
esp,2010,2706540
esp,2015,2794122
esp,2020,2858374
esp,2025,3397477
esp,2030,3435509
esp,2035,3468878
est,1950,0
est,1955,0
est,1960,0
est,1965,0
est,1970,0
est,1975,0
est,1980,0
est,1985,0
est,1990,0
est,1995,0
est,2000,0
est,2005,0
est,2010,0
est,2015,0
est,2020,0
est,2025,0
est,2030,0
est,2035,0
eth,1950,0
eth,1955,0
eth,1960,519177
eth,1965,597455
eth,1970,729246
eth,1975,925730
eth,1980,0
eth,1985,0
eth,1990,0
eth,1995,0
eth,2000,0
eth,2005,0
eth,2010,0
eth,2015,0
eth,2020,523915
eth,2025,1144327
eth,2030,2542010
eth,2035,4106620
fin,1950,0
fin,1955,0
fin,1960,0
fin,1965,0
fin,1970,507298
fin,1975,582134
fin,1980,673850
fin,1985,723405
fin,1990,871274
fin,1995,942910
fin,2000,0
fin,2005,0
fin,2010,0
fin,2015,0
fin,2020,0
fin,2025,0
fin,2030,0
fin,2035,0
fji,1950,0
fji,1955,0
fji,1960,0
fji,1965,0
fji,1970,0
fji,1975,0
fji,1980,0
fji,1985,0
fji,1990,0
fji,1995,0
fji,2000,0
fji,2005,0
fji,2010,0
fji,2015,0
fji,2020,0
fji,2025,0
fji,2030,0
fji,2035,0
fra,1950,2771407
fra,1955,2882593
fra,1960,3190861
fra,1965,2522926
fra,1970,2675648
fra,1975,3299774
fra,1980,3388177
fra,1985,3530647
fra,1990,3707321
fra,1995,4855192
fra,2000,4030990
fra,2005,4202299
fra,2010,4859645
fra,2015,5034608
fra,2020,4196558
fra,2025,3310686
fra,2030,4424290
fra,2035,4566589
fsm,1950,0
fsm,1955,0
fsm,1960,0
fsm,1965,0
fsm,1970,0
fsm,1975,0
fsm,1980,0
fsm,1985,0
fsm,1990,0
fsm,1995,0
fsm,2000,0
fsm,2005,0
fsm,2010,0
fsm,2015,0
fsm,2020,0
fsm,2025,0
fsm,2030,0
fsm,2035,0
gab,1950,0
gab,1955,0
gab,1960,0
gab,1965,0
gab,1970,0
gab,1975,0
gab,1980,0
gab,1985,0
gab,1990,0
gab,1995,0
gab,2000,0
gab,2005,562860
gab,2010,648564
gab,2015,747259
gab,2020,834204
gab,2025,899225
gab,2030,988148
gab,2035,0
gbr,1950,3428035
gbr,1955,3529498
gbr,1960,3634857
gbr,1965,3597154
gbr,1970,3532656
gbr,1975,3397846
gbr,1980,3255716
gbr,1985,4217017
gbr,1990,4144194
gbr,1995,4709268
gbr,2000,5325481
