country,time,c_dirdemo_idea
cub,2014,0
cub,2015,0
cub,2016,0
cub,2017,0
cub,2018,0
cub,2019,5.03628
cyp,1976,0
cyp,1977,0
cyp,1978,0
cyp,1979,0
cyp,1980,0
cyp,1981,0
cyp,1982,0
cyp,1983,0
cyp,1984,0
cyp,1985,0
cyp,1986,0
cyp,1987,0
cyp,1988,0
cyp,1989,0
cyp,1990,0
cyp,1991,0
cyp,1992,0
cyp,1993,0
cyp,1994,0
cyp,1995,0
cyp,1996,0
cyp,1997,0
cyp,1998,0
cyp,1999,0
cyp,2000,0
cyp,2001,0
cyp,2002,0
cyp,2003,0
cyp,2004,12.8041
cyp,2005,-12.8041
cyp,2006,0
cyp,2007,0
cyp,2008,0
cyp,2009,0
cyp,2010,0
cyp,2011,0
cyp,2012,0
cyp,2013,0
cyp,2014,0
cyp,2015,0
cyp,2016,0
cyp,2017,0
cyp,2018,0
cyp,2019,0
cze,1976,0
cze,1977,0
cze,1978,0
cze,1979,0
cze,1980,0
cze,1981,0
cze,1982,0
cze,1983,0
cze,1984,0
cze,1985,0
cze,1986,0
cze,1987,0
cze,1988,0
cze,1989,0
cze,1990,0
cze,1991,0
cze,1992,0
cze,1993,1.66453
cze,1994,0
cze,1995,0
cze,1996,0
cze,1997,0
cze,1998,0
cze,1999,0
cze,2000,0
cze,2001,0
cze,2002,0
cze,2003,15.10883
cze,2004,0
cze,2005,0
cze,2006,0
cze,2007,0
cze,2008,-1.02433
cze,2009,-0.89629
cze,2010,-1.02433
cze,2011,-1.02433
cze,2012,-1.02433
cze,2013,-1.02433
cze,2014,-1.02433
cze,2015,-1.02433
cze,2016,-1.02433
cze,2017,-1.02433
cze,2018,-0.89629
cze,2019,-1.02433
deu,1976,0
deu,1977,0
deu,1978,0
deu,1979,0
deu,1980,0
deu,1981,0
deu,1982,0
deu,1983,0
deu,1984,0
deu,1985,0
deu,1986,0
deu,1987,0
deu,1988,0
deu,1989,0
deu,1990,0
deu,1991,0
deu,1992,0
deu,1993,0
deu,1994,0
deu,1995,0
deu,1996,0
deu,1997,0
deu,1998,0
deu,1999,0
deu,2000,0
deu,2001,0
deu,2002,0
deu,2003,0
deu,2004,0
deu,2005,0
deu,2006,0
deu,2007,0
deu,2008,0
deu,2009,0
deu,2010,0
deu,2011,0
deu,2012,0
deu,2013,0
deu,2014,0
deu,2015,0
deu,2016,0
deu,2017,0
deu,2018,0
deu,2019,0
dnk,1976,0
dnk,1977,-1.28041
dnk,1978,1.28041
dnk,1979,0
dnk,1980,0
dnk,1981,0
dnk,1982,0
dnk,1983,-1.28041
dnk,1984,-1.28041
dnk,1985,-1.28041
dnk,1986,18.56594
dnk,1987,-1.28041
dnk,1988,-1.28041
dnk,1989,-1.28041
dnk,1990,-1.28041
dnk,1991,-2.68886
dnk,1992,8.19462
dnk,1993,2.68886
dnk,1994,0
dnk,1995,0
dnk,1996,0
dnk,1997,-2.1767
dnk,1998,2.94494
dnk,1999,-1.28041
dnk,2000,-1.40845
dnk,2001,-1.28041
dnk,2002,-1.28041
dnk,2003,-2.68886
dnk,2004,-2.56082
dnk,2005,-2.68886
dnk,2006,-2.56082
dnk,2007,-2.56082
dnk,2008,-2.68886
dnk,2009,6.40205
dnk,2010,-1.28041
dnk,2011,-1.28041
dnk,2012,-1.40845
dnk,2013,0
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,-1.28041
dom,1976,0
dom,1977,0
dom,1978,0
dom,1979,0
dom,1980,0
dom,1981,0
dom,1982,0
dom,1983,0
dom,1984,0
dom,1985,0
dom,1986,0
dom,1987,0
dom,1988,0
dom,1989,0
dom,1990,0
dom,1991,0
dom,1992,0
dom,1993,0
dom,1994,0
dom,1995,0
dom,1996,0
dom,1997,0
dom,1998,0
dom,1999,0
dom,2000,0
dom,2001,0
dom,2002,0
dom,2003,0
dom,2004,0
dom,2005,0
dom,2006,0
dom,2007,0
dom,2008,0
dom,2009,0
dom,2010,1.53649
dom,2011,0
dom,2012,0
dom,2013,0
dom,2014,0
dom,2015,0
dom,2016,0
dom,2017,0
dom,2018,0
dom,2019,0
dza,1976,0.6402
dza,1977,0
dza,1978,0
dza,1979,0
dza,1980,0
dza,1981,0
dza,1982,0
dza,1983,0
dza,1984,0
dza,1985,0
dza,1986,0
dza,1987,0
dza,1988,0
dza,1989,5.59112
dza,1990,0
dza,1991,0
dza,1992,-6.23133
dza,1993,0
dza,1994,0
dza,1995,0
dza,1996,0
dza,1997,12.46265
dza,1998,0
dza,1999,15.79172
dza,2000,0
dza,2001,-0.68289
dza,2002,-0.59752
dza,2003,-0.68289
dza,2004,-1.70721
dza,2005,0.34144
dza,2006,-0.68289
dza,2007,-0.68289
dza,2008,-0.68289
dza,2009,-0.68289
dza,2010,-1.70721
dza,2011,-1.62185
dza,2012,-1.70721
dza,2013,-1.70721
dza,2014,-1.70721
dza,2015,-1.70721
dza,2016,-1.02433
dza,2017,-1.02433
dza,2018,-1.02433
dza,2019,-1.02433
ecu,1976,0
ecu,1977,0
ecu,1978,5.76184
ecu,1979,11.52369
ecu,1980,0
ecu,1981,0
ecu,1982,0
ecu,1983,-1.92061
ecu,1984,-1.92061
ecu,1985,-1.92061
ecu,1986,5.76184
ecu,1987,0
ecu,1988,0
ecu,1989,0
ecu,1990,0
ecu,1991,-1.92061
ecu,1992,-1.92061
ecu,1993,-1.92061
ecu,1994,7.68246
ecu,1995,0
ecu,1996,0
ecu,1997,0
ecu,1998,11.90781
ecu,1999,0
ecu,2000,-10.37132
ecu,2001,0
ecu,2002,8.83483
ecu,2003,-1.53649
ecu,2004,-1.53649
ecu,2005,-1.53649
ecu,2006,6.14597
ecu,2007,0
ecu,2008,16.90141
ecu,2009,0
ecu,2010,0
ecu,2011,0
ecu,2012,0
ecu,2013,-1.02433
ecu,2014,-1.02433
ecu,2015,-0.89629
ecu,2016,-2.56082
ecu,2017,0.51216
ecu,2018,-1.02433
ecu,2019,-1.02433
egy,1976,0
egy,1977,0
egy,1978,0
egy,1979,14.12719
egy,1980,-28.25437
egy,1981,28.25437
egy,1982,0
egy,1983,0
egy,1984,0
egy,1985,-0.68289
egy,1986,-1.62185
egy,1987,0.34144
egy,1988,-0.68289
egy,1989,-0.68289
egy,1990,-0.68289
egy,1991,-0.68289
egy,1992,-0.68289
egy,1993,-0.68289
egy,1994,-0.68289
egy,1995,-0.59752
egy,1996,-0.68289
egy,1997,-0.68289
egy,1998,-1.70721
egy,1999,0.34144
egy,2000,0
egy,2001,0
egy,2002,0
egy,2003,0
egy,2004,-1.02433
egy,2005,9.04823
egy,2006,-1.02433
egy,2007,-1.02433
egy,2008,-1.02433
egy,2009,-1.02433
egy,2010,-1.02433
egy,2011,7.17029
egy,2012,-0.68289
egy,2013,-1.53649
egy,2014,-26.035
egy,2015,0
egy,2016,18.18182
egy,2017,0
egy,2018,0
egy,2019,9.04823
eri,1994,0
eri,1995,0
eri,1996,0
eri,1997,0
eri,1998,0
eri,1999,0
eri,2000,0
eri,2001,0
eri,2002,0
eri,2003,0
eri,2004,0
eri,2005,0
eri,2006,0
eri,2007,0
eri,2008,0
eri,2009,0
eri,2010,0
eri,2011,0
eri,2012,0
eri,2013,0
eri,2014,0
eri,2015,0
eri,2016,0
eri,2017,0
eri,2018,0
eri,2019,0
esp,1976,0
esp,1977,2.56082
esp,1978,16.13316
esp,1979,0
esp,1980,0
esp,1981,0
esp,1982,0
